,Unnamed: 0,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0,14.012594,0.6230461,216.0,1,session_E,22,2,001-2014,GLE PCA
1,1,13.286881,0.6011924,216.0,1,session_T,22,2,001-2014,GLE PCA
2,2,13.408397,0.6364694,216.0,2,session_E,22,2,001-2014,GLE PCA
3,3,17.44531,0.5626955,216.0,2,session_T,22,2,001-2014,GLE PCA
4,4,14.980517,0.58327013,216.0,3,session_E,22,2,001-2014,GLE PCA
5,5,15.525203,0.5998982,216.0,3,session_T,22,2,001-2014,GLE PCA
6,6,0.554966,0.5826791,216.0,4,session_E,22,2,001-2014,GLE PCA
7,7,0.5359311,0.55315155,216.0,4,session_T,22,2,001-2014,GLE PCA
8,8,0.51738095,0.5421184,216.0,5,session_E,22,2,001-2014,GLE PCA
9,9,0.58264184,0.54391134,216.0,5,session_T,22,2,001-2014,GLE PCA
10,10,0.52943015,0.560891,216.0,6,session_E,22,2,001-2014,GLE PCA
11,11,0.5404279,0.56153256,216.0,6,session_T,22,2,001-2014,GLE PCA
12,12,0.55784893,0.55717343,216.0,7,session_E,22,2,001-2014,GLE PCA
13,13,0.56134605,0.54695195,216.0,7,session_T,22,2,001-2014,GLE PCA
14,14,0.72684526,0.5555202,216.0,8,session_E,22,2,001-2014,GLE PCA
15,15,0.61758685,0.5283268,216.0,8,session_T,22,2,001-2014,GLE PCA
16,16,0.6096151,0.6164856,216.0,9,session_E,22,2,001-2014,GLE PCA
17,17,0.53731894,0.5586773,216.0,9,session_T,22,2,001-2014,GLE PCA
18,18,0.42498326,0.6226105,120.0,1,session_0,30,2,004-2015,GLE PCA
19,19,0.4640262,0.7360916,120.0,1,session_1,30,2,004-2015,GLE PCA
20,20,0.54259205,0.67018205,120.0,2,session_0,30,2,004-2015,GLE PCA
21,21,0.45223188,0.6245489,120.0,2,session_1,30,2,004-2015,GLE PCA
22,22,0.82412696,0.71281844,120.0,3,session_0,30,2,004-2015,GLE PCA
23,23,0.874882,0.69415677,120.0,3,session_1,30,2,004-2015,GLE PCA
24,24,0.41323495,0.6582362,105.0,4,session_0,30,2,004-2015,GLE PCA
25,25,0.5403149,0.69508684,120.0,4,session_1,30,2,004-2015,GLE PCA
26,26,0.48419476,0.6269476,120.0,5,session_0,30,2,004-2015,GLE PCA
