,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,AIR LLE,AIR LLE,0.001953125,0.0,9
1,001-2014,1,AIR PCA,AIR LLE,0.998046875,-0.7265105512509342,9
2,001-2014,2,CLE LLE,AIR LLE,0.998046875,-0.7839499709535193,9
3,001-2014,3,CLE PCA,AIR LLE,0.998046875,-0.7594917347503198,9
4,001-2014,4,GLE LLE,AIR LLE,0.5,0.24457583543892433,9
5,001-2014,5,GLE PCA,AIR LLE,0.998046875,-0.7812765948153861,9
6,001-2014,6,LE LLE,AIR LLE,0.998046875,-0.7467524395301093,9
7,001-2014,7,LE PCA,AIR LLE,0.998046875,-0.7794399961976871,9
8,001-2014,8,AIR LLE,AIR PCA,0.001953125,0.7265105512509342,9
9,001-2014,9,AIR PCA,AIR PCA,0.001953125,0.0,9
10,001-2014,10,CLE LLE,AIR PCA,0.998046875,-6.717203952531775,9
11,001-2014,11,CLE PCA,AIR PCA,0.71875,-0.14917813148374395,9
12,001-2014,12,GLE LLE,AIR PCA,0.001953125,0.3466307171639255,9
13,001-2014,13,GLE PCA,AIR PCA,0.87109375,-0.36603647332388434,9
14,001-2014,14,LE LLE,AIR PCA,0.95703125,-0.6355593275560522,9
15,001-2014,15,LE PCA,AIR PCA,0.849609375,-0.3427402472345857,9
16,001-2014,16,AIR LLE,CLE LLE,0.001953125,0.7839499709535193,9
17,001-2014,17,AIR PCA,CLE LLE,0.001953125,6.717203952531775,9
18,001-2014,18,CLE LLE,CLE LLE,0.001953125,0.0,9
19,001-2014,19,CLE PCA,CLE LLE,0.0625,0.603316341759374,9
20,001-2014,20,GLE LLE,CLE LLE,0.001953125,0.3584732451230404,9
21,001-2014,21,GLE PCA,CLE LLE,0.126953125,0.39298063549983664,9
22,001-2014,22,LE LLE,CLE LLE,0.001953125,0.6176976679674359,9
23,001-2014,23,LE PCA,CLE LLE,0.125,0.4003978792087644,9
24,001-2014,24,AIR LLE,CLE PCA,0.001953125,0.7594917347503198,9
25,001-2014,25,AIR PCA,CLE PCA,0.283203125,0.14917813148374395,9
26,001-2014,26,CLE LLE,CLE PCA,0.939453125,-0.603316341759374,9
27,001-2014,27,CLE PCA,CLE PCA,0.001953125,0.0,9
28,001-2014,28,GLE LLE,CLE PCA,0.009765625,0.35125511106002244,9
29,001-2014,29,GLE PCA,CLE PCA,0.755859375,-0.3369643308717149,9
30,001-2014,30,LE LLE,CLE PCA,0.677734375,-0.1512747765973257,9
31,001-2014,31,LE PCA,CLE PCA,0.689453125,-0.3083902208406078,9
32,001-2014,32,AIR LLE,GLE LLE,0.501953125,-0.24457583543892433,9
33,001-2014,33,AIR PCA,GLE LLE,0.998046875,-0.3466307171639255,9
34,001-2014,34,CLE LLE,GLE LLE,0.998046875,-0.3584732451230404,9
35,001-2014,35,CLE PCA,GLE LLE,0.9921875,-0.35125511106002244,9
36,001-2014,36,GLE LLE,GLE LLE,0.001953125,0.0,9
37,001-2014,37,GLE PCA,GLE LLE,0.99609375,-0.3552805127751682,9
38,001-2014,38,LE LLE,GLE LLE,0.998046875,-0.35174217288927967,9
39,001-2014,39,LE PCA,GLE LLE,0.99609375,-0.3549877193759246,9
40,001-2014,40,AIR LLE,GLE PCA,0.001953125,0.7812765948153861,9
41,001-2014,41,AIR PCA,GLE PCA,0.130859375,0.36603647332388434,9
42,001-2014,42,CLE LLE,GLE PCA,0.875,-0.39298063549983664,9
43,001-2014,43,CLE PCA,GLE PCA,0.24609375,0.3369643308717149,9
44,001-2014,44,GLE LLE,GLE PCA,0.005859375,0.3552805127751682,9
45,001-2014,45,GLE PCA,GLE PCA,0.001953125,0.0,9
46,001-2014,46,LE LLE,GLE PCA,0.4921875,0.006582023710973106,9
47,001-2014,47,LE PCA,GLE PCA,0.08984375,0.5119647743413024,9
48,001-2014,48,AIR LLE,LE LLE,0.001953125,0.7467524395301093,9
49,001-2014,49,AIR PCA,LE LLE,0.044921875,0.6355593275560522,9
50,001-2014,50,CLE LLE,LE LLE,0.998046875,-0.6176976679674359,9
51,001-2014,51,CLE PCA,LE LLE,0.32421875,0.1512747765973257,9
52,001-2014,52,GLE LLE,LE LLE,0.00390625,0.35174217288927967,9
53,001-2014,53,GLE PCA,LE LLE,0.509765625,-0.006582023710973106,9
54,001-2014,54,LE LLE,LE LLE,0.001953125,0.0,9
55,001-2014,55,LE PCA,LE LLE,0.490234375,0.0054310277999471595,9
56,001-2014,56,AIR LLE,LE PCA,0.001953125,0.7794399961976871,9
57,001-2014,57,AIR PCA,LE PCA,0.15234375,0.3427402472345857,9
58,001-2014,58,CLE LLE,LE PCA,0.876953125,-0.4003978792087644,9
59,001-2014,59,CLE PCA,LE PCA,0.3125,0.3083902208406078,9
60,001-2014,60,GLE LLE,LE PCA,0.005859375,0.3549877193759246,9
61,001-2014,61,GLE PCA,LE PCA,0.912109375,-0.5119647743413024,9
62,001-2014,62,LE LLE,LE PCA,0.51171875,-0.0054310277999471595,9
63,001-2014,63,LE PCA,LE PCA,0.001953125,0.0,9
64,004-2015,0,AIR LLE,AIR LLE,0.001953125,0.0,9
65,004-2015,1,AIR PCA,AIR LLE,0.998046875,-0.34569627085383653,9
66,004-2015,2,CLE LLE,AIR LLE,0.998046875,-0.34610850182492126,9
67,004-2015,3,CLE PCA,AIR LLE,0.998046875,-0.3463284247767205,9
68,004-2015,4,GLE LLE,AIR LLE,0.84375,-0.3374664002648341,9
69,004-2015,5,GLE PCA,AIR LLE,0.998046875,-0.346321955469195,9
70,004-2015,6,LE LLE,AIR LLE,0.998046875,-0.3456916149675376,9
71,004-2015,7,LE PCA,AIR LLE,0.998046875,-0.34632165122468095,9
72,004-2015,8,AIR LLE,AIR PCA,0.001953125,0.34569627085383653,9
73,004-2015,9,AIR PCA,AIR PCA,0.001953125,0.0,9
74,004-2015,10,CLE LLE,AIR PCA,0.998046875,-6.681783545636801,9
75,004-2015,11,CLE PCA,AIR PCA,0.998046875,-16.65616129708674,9
76,004-2015,12,GLE LLE,AIR PCA,0.00390625,0.36281270939352306,9
77,004-2015,13,GLE PCA,AIR PCA,0.998046875,-15.834406701420807,9
78,004-2015,14,LE LLE,AIR PCA,0.51171875,-0.045305938406699414,9
79,004-2015,15,LE PCA,AIR PCA,0.998046875,-16.223893899123006,9
80,004-2015,16,AIR LLE,CLE LLE,0.001953125,0.34610850182492126,9
81,004-2015,17,AIR PCA,CLE LLE,0.001953125,6.681783545636801,9
82,004-2015,18,CLE LLE,CLE LLE,0.001953125,0.0,9
