,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.25,0.7984109,288.0,1,session_E,22,2,001-2014,AIR Gram
1,0.25,0.9213731,288.0,1,session_T,22,2,001-2014,AIR Gram
2,0.25,0.8539903,288.0,2,session_E,22,2,001-2014,AIR Gram
3,0.25,0.89951706,288.0,2,session_T,22,2,001-2014,AIR Gram
4,0.25,1.0001647,288.0,3,session_E,22,2,001-2014,AIR Gram
5,0.25,1.178205,288.0,3,session_T,22,2,001-2014,AIR Gram
6,0.25,0.9016478,288.0,4,session_E,22,2,001-2014,AIR Gram
7,0.25,0.88661504,288.0,4,session_T,22,2,001-2014,AIR Gram
8,0.25,1.045805,288.0,5,session_E,22,2,001-2014,AIR Gram
9,0.25,0.915519,288.0,5,session_T,22,2,001-2014,AIR Gram
10,0.25,0.81396914,288.0,6,session_E,22,2,001-2014,AIR Gram
11,0.25,0.809381,288.0,6,session_T,22,2,001-2014,AIR Gram
12,0.25,0.886508,288.0,7,session_E,22,2,001-2014,AIR Gram
13,0.25,0.90316606,288.0,7,session_T,22,2,001-2014,AIR Gram
14,0.25,0.82755804,288.0,8,session_E,22,2,001-2014,AIR Gram
15,0.25,0.8349762,288.0,8,session_T,22,2,001-2014,AIR Gram
16,0.25,0.8904319,288.0,9,session_E,22,2,001-2014,AIR Gram
17,0.25,0.932163,288.0,9,session_T,22,2,001-2014,AIR Gram
18,0.5,0.35885286,200.0,1,session_A,13,2,001-2015,AIR Gram
19,0.5,0.5359669,200.0,1,session_B,13,2,001-2015,AIR Gram
20,0.5,0.40939283,200.0,2,session_A,13,2,001-2015,AIR Gram
21,0.5,0.4260521,200.0,2,session_B,13,2,001-2015,AIR Gram
22,0.5,0.36944485,200.0,3,session_A,13,2,001-2015,AIR Gram
23,0.5,0.35667682,200.0,3,session_B,13,2,001-2015,AIR Gram
24,0.5,0.46705294,200.0,4,session_A,13,2,001-2015,AIR Gram
25,0.5,0.38081694,200.0,4,session_B,13,2,001-2015,AIR Gram
26,0.5,0.32986498,200.0,5,session_A,13,2,001-2015,AIR Gram
27,0.5,0.4024241,200.0,5,session_B,13,2,001-2015,AIR Gram
28,0.5,0.39711905,200.0,6,session_A,13,2,001-2015,AIR Gram
29,0.5,0.3743391,200.0,6,session_B,13,2,001-2015,AIR Gram
30,0.5,0.33410025,200.0,7,session_A,13,2,001-2015,AIR Gram
31,0.5,0.46413708,200.0,7,session_B,13,2,001-2015,AIR Gram
32,0.5,0.535033,400.0,8,session_A,13,2,001-2015,AIR Gram
33,0.5,0.49999428,400.0,8,session_B,13,2,001-2015,AIR Gram
34,0.5,0.578356,400.0,8,session_C,13,2,001-2015,AIR Gram
35,0.5,0.5240929,400.0,9,session_A,13,2,001-2015,AIR Gram
36,0.5,0.5790317,400.0,9,session_B,13,2,001-2015,AIR Gram
37,0.5,0.5491793,400.0,9,session_C,13,2,001-2015,AIR Gram
38,0.5,0.6834328,400.0,10,session_A,13,2,001-2015,AIR Gram
39,0.5,0.5957711,400.0,10,session_B,13,2,001-2015,AIR Gram
40,0.5,0.693249,400.0,10,session_C,13,2,001-2015,AIR Gram
41,0.5,0.5910311,400.0,11,session_A,13,2,001-2015,AIR Gram
42,0.5,0.59435487,400.0,11,session_B,13,2,001-2015,AIR Gram
43,0.5,0.59048223,400.0,11,session_C,13,2,001-2015,AIR Gram
44,0.5,0.32434797,200.0,12,session_A,13,2,001-2015,AIR Gram
45,0.5,0.42254996,200.0,12,session_B,13,2,001-2015,AIR Gram
46,0.5,0.14416218,600.0,1,session_0,3,5,004-2014,AIR Gram
47,0.5,0.16054392,600.0,1,session_1,3,5,004-2014,AIR Gram
48,0.5,0.111191034,560.0,1,session_2,3,5,004-2014,AIR Gram
49,0.5,0.12839723,560.0,1,session_3,3,5,004-2014,AIR Gram
50,0.5,0.12056804,560.0,1,session_4,3,5,004-2014,AIR Gram
51,0.5,0.11496806,560.0,2,session_0,3,5,004-2014,AIR Gram
52,0.5,0.13872623,560.0,2,session_1,3,5,004-2014,AIR Gram
53,0.5,0.11847806,520.0,2,session_2,3,5,004-2014,AIR Gram
54,0.5,0.1257329,560.0,2,session_3,3,5,004-2014,AIR Gram
55,0.5,0.10482812,520.0,2,session_4,3,5,004-2014,AIR Gram
56,0.5,0.11787605,600.0,3,session_0,3,5,004-2014,AIR Gram
57,0.5,0.11754179,600.0,3,session_1,3,5,004-2014,AIR Gram
58,0.5,0.11865401,560.0,3,session_2,3,5,004-2014,AIR Gram
59,0.5,0.09926391,560.0,3,session_3,3,5,004-2014,AIR Gram
60,0.5,0.16933489,560.0,3,session_4,3,5,004-2014,AIR Gram
61,0.5,0.1455841,620.0,4,session_0,3,5,004-2014,AIR Gram
62,0.5,0.112552166,600.0,4,session_1,3,5,004-2014,AIR Gram
63,0.5,0.12656498,580.0,4,session_2,3,5,004-2014,AIR Gram
64,0.5,0.1432612,580.0,4,session_3,3,5,004-2014,AIR Gram
65,0.5,0.108916044,580.0,4,session_4,3,5,004-2014,AIR Gram
66,0.5,0.124938965,620.0,5,session_0,3,5,004-2014,AIR Gram
67,0.5,0.15526104,600.0,5,session_1,3,5,004-2014,AIR Gram
68,0.5,0.11105394,580.0,5,session_2,3,5,004-2014,AIR Gram
69,0.5,0.18203592,580.0,5,session_3,3,5,004-2014,AIR Gram
70,0.5,0.12048483,580.0,5,session_4,3,5,004-2014,AIR Gram
71,0.5,0.0826602,600.0,6,session_0,3,5,004-2014,AIR Gram
72,0.5,0.12684584,600.0,6,session_1,3,5,004-2014,AIR Gram
73,0.5,0.11338496,560.0,6,session_2,3,5,004-2014,AIR Gram
74,0.5,0.08349228,560.0,6,session_3,3,5,004-2014,AIR Gram
75,0.5,0.06229925,560.0,6,session_4,3,5,004-2014,AIR Gram
76,0.5,0.22342467,600.0,7,session_0,3,5,004-2014,AIR Gram
77,0.5,0.083508015,600.0,7,session_1,3,5,004-2014,AIR Gram
78,0.5,0.11797714,560.0,7,session_2,3,5,004-2014,AIR Gram
79,0.5,0.14960003,560.0,7,session_3,3,5,004-2014,AIR Gram
80,0.5,0.095517874,560.0,7,session_4,3,5,004-2014,AIR Gram
81,0.5,0.119782925,600.0,8,session_0,3,5,004-2014,AIR Gram
82,0.5,0.12618709,640.0,8,session_1,3,5,004-2014,AIR Gram
83,0.5,0.16125178,600.0,8,session_2,3,5,004-2014,AIR Gram
84,0.5,0.14001822,600.0,8,session_3,3,5,004-2014,AIR Gram
85,0.5,0.1409657,600.0,8,session_4,3,5,004-2014,AIR Gram
86,0.5,0.09026933,600.0,9,session_0,3,5,004-2014,AIR Gram
87,0.5,0.1484201,600.0,9,session_1,3,5,004-2014,AIR Gram
88,0.5,0.111059904,560.0,9,session_2,3,5,004-2014,AIR Gram
89,0.5,0.09363818,560.0,9,session_3,3,5,004-2014,AIR Gram
90,0.5,0.08583403,560.0,9,session_4,3,5,004-2014,AIR Gram
