,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.25,0.72293615,288.0,1,session_E,22,2,001-2014,AIR Gram
1,0.25,0.6407838,288.0,1,session_T,22,2,001-2014,AIR Gram
2,0.25,0.55149984,288.0,2,session_E,22,2,001-2014,AIR Gram
3,0.25,0.6045699,288.0,2,session_T,22,2,001-2014,AIR Gram
4,0.25,0.5611899,288.0,3,session_E,22,2,001-2014,AIR Gram
5,0.25,0.61871195,288.0,3,session_T,22,2,001-2014,AIR Gram
6,0.25,0.66753197,288.0,4,session_E,22,2,001-2014,AIR Gram
7,0.25,0.6838548,288.0,4,session_T,22,2,001-2014,AIR Gram
8,0.25,0.64954686,288.0,5,session_E,22,2,001-2014,AIR Gram
9,0.25,0.73540115,288.0,5,session_T,22,2,001-2014,AIR Gram
10,0.25,0.573478,288.0,6,session_E,22,2,001-2014,AIR Gram
11,0.25,0.55708313,288.0,6,session_T,22,2,001-2014,AIR Gram
12,0.25,0.5128989,288.0,7,session_E,22,2,001-2014,AIR Gram
13,0.25,0.56096196,288.0,7,session_T,22,2,001-2014,AIR Gram
14,0.25,0.5468199,288.0,8,session_E,22,2,001-2014,AIR Gram
15,0.25,0.69249105,288.0,8,session_T,22,2,001-2014,AIR Gram
16,0.25,0.60140324,288.0,9,session_E,22,2,001-2014,AIR Gram
17,0.25,0.62151194,288.0,9,session_T,22,2,001-2014,AIR Gram
18,0.5,0.33231997,200.0,1,session_A,13,2,001-2015,AIR Gram
19,0.5,0.29046416,200.0,1,session_B,13,2,001-2015,AIR Gram
20,0.5,0.3503549,200.0,2,session_A,13,2,001-2015,AIR Gram
21,0.5,0.35828424,200.0,2,session_B,13,2,001-2015,AIR Gram
22,0.5,0.29871106,200.0,3,session_A,13,2,001-2015,AIR Gram
23,0.5,0.26296806,200.0,3,session_B,13,2,001-2015,AIR Gram
24,0.5,0.34596705,200.0,4,session_A,13,2,001-2015,AIR Gram
25,0.5,0.22678924,200.0,4,session_B,13,2,001-2015,AIR Gram
26,0.5,0.23015404,200.0,5,session_A,13,2,001-2015,AIR Gram
27,0.5,0.27051497,200.0,5,session_B,13,2,001-2015,AIR Gram
28,0.5,0.3097651,200.0,6,session_A,13,2,001-2015,AIR Gram
29,0.5,0.290128,200.0,6,session_B,13,2,001-2015,AIR Gram
30,0.5,0.310894,200.0,7,session_A,13,2,001-2015,AIR Gram
31,0.5,0.27809405,200.0,7,session_B,13,2,001-2015,AIR Gram
32,0.5,0.360219,400.0,8,session_A,13,2,001-2015,AIR Gram
33,0.5,0.36937213,400.0,8,session_B,13,2,001-2015,AIR Gram
34,0.5,0.38678002,400.0,8,session_C,13,2,001-2015,AIR Gram
35,0.5,0.29156995,400.0,9,session_A,13,2,001-2015,AIR Gram
36,0.5,0.3764639,400.0,9,session_B,13,2,001-2015,AIR Gram
37,0.5,0.30117297,400.0,9,session_C,13,2,001-2015,AIR Gram
38,0.5,0.48778796,400.0,10,session_A,13,2,001-2015,AIR Gram
39,0.5,0.556932,400.0,10,session_B,13,2,001-2015,AIR Gram
40,0.5,0.5173559,400.0,10,session_C,13,2,001-2015,AIR Gram
41,0.5,0.32828498,400.0,11,session_A,13,2,001-2015,AIR Gram
42,0.5,0.5334139,400.0,11,session_B,13,2,001-2015,AIR Gram
43,0.5,0.59704113,400.0,11,session_C,13,2,001-2015,AIR Gram
44,0.5,0.33088374,200.0,12,session_A,13,2,001-2015,AIR Gram
45,0.5,0.29310203,200.0,12,session_B,13,2,001-2015,AIR Gram
46,0.5,0.10078001,600.0,1,session_0,3,5,004-2014,AIR Gram
47,0.5,0.13345909,600.0,1,session_1,3,5,004-2014,AIR Gram
48,0.5,0.14031696,560.0,1,session_2,3,5,004-2014,AIR Gram
