,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8159722,1059.496,288.0,1,0train,22,2,BNCI2014-001,AIR PCA
1,0.6006944,1038.3357,288.0,2,0train,22,2,BNCI2014-001,AIR PCA
2,0.5902778,1007.79144,288.0,2,1test,22,2,BNCI2014-001,AIR PCA
3,0.8368056,1045.3605,288.0,3,0train,22,2,BNCI2014-001,AIR PCA
4,0.8819444,1033.2115,288.0,3,1test,22,2,BNCI2014-001,AIR PCA
5,0.6076389,1031.0331,288.0,4,0train,22,2,BNCI2014-001,AIR PCA
6,0.71875,1006.0549,288.0,4,1test,22,2,BNCI2014-001,AIR PCA
7,0.4097222,1053.8713,288.0,5,0train,22,2,BNCI2014-001,AIR PCA
8,0.45833334,1047.2623,288.0,5,1test,22,2,BNCI2014-001,AIR PCA
9,0.5868056,1032.8278,288.0,6,0train,22,2,BNCI2014-001,AIR PCA
10,0.53125,1034.9298,288.0,6,1test,22,2,BNCI2014-001,AIR PCA
11,0.8090278,1003.69666,288.0,7,0train,22,2,BNCI2014-001,AIR PCA
12,0.8506944,1005.7636,288.0,7,1test,22,2,BNCI2014-001,AIR PCA
13,0.8298611,1031.6566,288.0,8,0train,22,2,BNCI2014-001,AIR PCA
14,0.8263889,1039.0219,288.0,8,1test,22,2,BNCI2014-001,AIR PCA
15,0.6701389,1029.937,288.0,9,0train,22,2,BNCI2014-001,AIR PCA
16,0.7951389,1025.0011,288.0,9,1test,22,2,BNCI2014-001,AIR PCA
17,0.8020833,4.441674,288.0,1,0train,22,2,BNCI2014-001,LE PCA
18,0.8333333,4.410481,288.0,1,1test,22,2,BNCI2014-001,LE PCA
19,0.5381944,5.384674,288.0,2,0train,22,2,BNCI2014-001,LE PCA
20,0.5069444,5.05604,288.0,2,1test,22,2,BNCI2014-001,LE PCA
21,0.7638889,4.4424458,288.0,3,0train,22,2,BNCI2014-001,LE PCA
22,0.8159722,4.343854,288.0,3,1test,22,2,BNCI2014-001,LE PCA
23,0.5243056,4.39466,288.0,4,0train,22,2,BNCI2014-001,LE PCA
24,0.5798611,4.543257,288.0,4,1test,22,2,BNCI2014-001,LE PCA
25,0.3298611,4.777829,288.0,5,0train,22,2,BNCI2014-001,LE PCA
26,0.39930555,4.71625,288.0,5,1test,22,2,BNCI2014-001,LE PCA
27,0.4826389,5.041995,288.0,6,0train,22,2,BNCI2014-001,LE PCA
28,0.48958334,4.8759747,288.0,6,1test,22,2,BNCI2014-001,LE PCA
29,0.6354167,4.416934,288.0,7,0train,22,2,BNCI2014-001,LE PCA
30,0.6944444,4.471665,288.0,7,1test,22,2,BNCI2014-001,LE PCA
31,0.78125,4.2706823,288.0,8,0train,22,2,BNCI2014-001,LE PCA
32,0.7708333,4.4134398,288.0,8,1test,22,2,BNCI2014-001,LE PCA
33,0.6319444,4.4023304,288.0,9,0train,22,2,BNCI2014-001,LE PCA
34,0.7708333,4.5219088,288.0,9,1test,22,2,BNCI2014-001,LE PCA
35,0.7951389,102.8457,288.0,1,0train,22,2,BNCI2014-001,CLE PCA
36,0.7708333,104.64361,288.0,1,1test,22,2,BNCI2014-001,CLE PCA
37,0.5729167,104.616585,288.0,2,0train,22,2,BNCI2014-001,CLE PCA
38,0.6041667,107.46513,288.0,2,1test,22,2,BNCI2014-001,CLE PCA
39,0.8611111,101.80696,288.0,3,0train,22,2,BNCI2014-001,CLE PCA
40,0.8263889,101.57196,288.0,3,1test,22,2,BNCI2014-001,CLE PCA
41,0.5972222,102.69077,288.0,4,0train,22,2,BNCI2014-001,CLE PCA
42,0.6458333,105.481026,288.0,4,1test,22,2,BNCI2014-001,CLE PCA
43,0.4027778,106.8889,288.0,5,0train,22,2,BNCI2014-001,CLE PCA
44,0.47569445,102.892624,288.0,5,1test,22,2,BNCI2014-001,CLE PCA
