,dataset,index,pipe1,pipe2,p,smd,nsub
0,BNCI2014-001,0,AIR PCA,AIR PCA,0.001953125,0.0,9
1,BNCI2014-001,1,CLE PCA,AIR PCA,0.998046875,-1.2827003002166748,9
2,BNCI2014-001,2,GLE PCA,AIR PCA,0.998046875,-1.298406720161438,9
3,BNCI2014-001,3,LE PCA,AIR PCA,0.998046875,-1.5186183452606201,9
4,BNCI2014-001,4,AIR PCA,CLE PCA,0.00390625,1.2827003002166748,9
5,BNCI2014-001,5,CLE PCA,CLE PCA,0.001953125,0.0,9
6,BNCI2014-001,6,GLE PCA,CLE PCA,0.9765625,-0.7066135406494141,9
7,BNCI2014-001,7,LE PCA,CLE PCA,0.978515625,-0.8049765825271606,9
8,BNCI2014-001,8,AIR PCA,GLE PCA,0.001953125,1.298406720161438,9
9,BNCI2014-001,9,CLE PCA,GLE PCA,0.025390625,0.7066135406494141,9
10,BNCI2014-001,10,GLE PCA,GLE PCA,0.001953125,0.0,9
11,BNCI2014-001,11,LE PCA,GLE PCA,0.583984375,-0.07017594575881958,9
12,BNCI2014-001,12,AIR PCA,LE PCA,0.00390625,1.5186183452606201,9
13,BNCI2014-001,13,CLE PCA,LE PCA,0.0234375,0.8049765825271606,9
14,BNCI2014-001,14,GLE PCA,LE PCA,0.412109375,0.07017594575881958,9
15,BNCI2014-001,15,LE PCA,LE PCA,0.001953125,0.0,9
16,BNCI2014-004,0,AIR PCA,AIR PCA,0.001953125,0.0,9
17,BNCI2014-004,1,CLE PCA,AIR PCA,0.986328125,-0.8982958197593689,9
18,BNCI2014-004,2,GLE PCA,AIR PCA,0.9921875,-1.0368289947509766,9
19,BNCI2014-004,3,LE PCA,AIR PCA,0.998046875,-0.9891204833984375,9
20,BNCI2014-004,4,AIR PCA,CLE PCA,0.013671875,0.8982958197593689,9
21,BNCI2014-004,5,CLE PCA,CLE PCA,0.001953125,0.0,9
22,BNCI2014-004,6,GLE PCA,CLE PCA,0.9921875,-0.9630526900291443,9
23,BNCI2014-004,7,LE PCA,CLE PCA,0.99609375,-0.905929684638977,9
24,BNCI2014-004,8,AIR PCA,GLE PCA,0.0078125,1.0368289947509766,9
25,BNCI2014-004,9,CLE PCA,GLE PCA,0.009765625,0.9630526900291443,9
26,BNCI2014-004,10,GLE PCA,GLE PCA,0.001953125,0.0,9
27,BNCI2014-004,11,LE PCA,GLE PCA,0.541015625,-0.04111612215638161,9
28,BNCI2014-004,12,AIR PCA,LE PCA,0.00390625,0.9891204833984375,9
29,BNCI2014-004,13,CLE PCA,LE PCA,0.005859375,0.905929684638977,9
30,BNCI2014-004,14,GLE PCA,LE PCA,0.458984375,0.04111612215638161,9
31,BNCI2014-004,15,LE PCA,LE PCA,0.001953125,0.0,9
32,BNCI2015-001,0,AIR PCA,AIR PCA,0.000244140625,0.0,12
33,BNCI2015-001,1,CLE PCA,AIR PCA,0.388916015625,0.0766868069767952,12
34,BNCI2015-001,2,GLE PCA,AIR PCA,0.989501953125,-0.7082937359809875,12
35,BNCI2015-001,3,LE PCA,AIR PCA,0.987548828125,-0.733437716960907,12
36,BNCI2015-001,4,AIR PCA,CLE PCA,0.610595703125,-0.0766868069767952,12
37,BNCI2015-001,5,CLE PCA,CLE PCA,0.000244140625,0.0,12
38,BNCI2015-001,6,GLE PCA,CLE PCA,0.997802734375,-0.8797410726547241,12
39,BNCI2015-001,7,LE PCA,CLE PCA,0.99609375,-0.8227138519287109,12
40,BNCI2015-001,8,AIR PCA,GLE PCA,0.010498046875,0.7082937359809875,12
41,BNCI2015-001,9,CLE PCA,GLE PCA,0.00244140625,0.8797410726547241,12
42,BNCI2015-001,10,GLE PCA,GLE PCA,0.000244140625,0.0,12
43,BNCI2015-001,11,LE PCA,GLE PCA,0.187744140625,0.2822076380252838,12
44,BNCI2015-001,12,AIR PCA,LE PCA,0.0126953125,0.733437716960907,12
45,BNCI2015-001,13,CLE PCA,LE PCA,0.00390625,0.8227138519287109,12
46,BNCI2015-001,14,GLE PCA,LE PCA,0.810791015625,-0.2822076380252838,12
47,BNCI2015-001,15,LE PCA,LE PCA,0.000244140625,0.0,12
48,Lee2019-MI,0,AIR PCA,AIR PCA,0.0001,0.0,18
49,Lee2019-MI,1,CLE PCA,AIR PCA,0.0001,-0.6439480781555176,18
50,Lee2019-MI,2,GLE PCA,AIR PCA,0.0001,-0.9939101934432983,18
51,Lee2019-MI,3,LE PCA,AIR PCA,0.0001,-1.0091910362243652,18
52,Lee2019-MI,4,AIR PCA,CLE PCA,0.0001,0.6439480781555176,18
53,Lee2019-MI,5,CLE PCA,CLE PCA,0.0001,0.0,18
54,Lee2019-MI,6,GLE PCA,CLE PCA,0.0001,-0.7684206962585449,18
55,Lee2019-MI,7,LE PCA,CLE PCA,0.9978,-0.8017788529396057,18
56,Lee2019-MI,8,AIR PCA,GLE PCA,0.0001,0.9939101934432983,18
57,Lee2019-MI,9,CLE PCA,GLE PCA,0.0001,0.7684206962585449,18
58,Lee2019-MI,10,GLE PCA,GLE PCA,0.0001,0.0,18
59,Lee2019-MI,11,LE PCA,GLE PCA,0.0001,0.10077594965696335,18
60,Lee2019-MI,12,AIR PCA,LE PCA,0.0001,1.0091910362243652,18
61,Lee2019-MI,13,CLE PCA,LE PCA,0.0024,0.8017788529396057,18
62,Lee2019-MI,14,GLE PCA,LE PCA,0.0001,-0.10077594965696335,18
63,Lee2019-MI,15,LE PCA,LE PCA,0.0001,0.0,18
64,Zhou2016,0,AIR PCA,AIR PCA,0.0625,0.0,4
65,Zhou2016,1,CLE PCA,AIR PCA,0.3125,0.383623868227005,4
66,Zhou2016,2,GLE PCA,AIR PCA,0.9375,-1.614434003829956,4
67,Zhou2016,3,LE PCA,AIR PCA,0.9375,-2.0766990184783936,4
68,Zhou2016,4,AIR PCA,CLE PCA,0.75,-0.383623868227005,4
69,Zhou2016,5,CLE PCA,CLE PCA,0.0625,0.0,4
70,Zhou2016,6,GLE PCA,CLE PCA,0.9375,-1.914316177368164,4
71,Zhou2016,7,LE PCA,CLE PCA,0.9375,-2.8464255332946777,4
72,Zhou2016,8,AIR PCA,GLE PCA,0.0625,1.614434003829956,4
73,Zhou2016,9,CLE PCA,GLE PCA,0.0625,1.914316177368164,4
74,Zhou2016,10,GLE PCA,GLE PCA,0.0625,0.0,4
75,Zhou2016,11,LE PCA,GLE PCA,0.625,-0.0887116938829422,4
76,Zhou2016,12,AIR PCA,LE PCA,0.0625,2.0766990184783936,4
77,Zhou2016,13,CLE PCA,LE PCA,0.0625,2.8464255332946777,4
78,Zhou2016,14,GLE PCA,LE PCA,0.4375,0.0887116938829422,4
79,Zhou2016,15,LE PCA,LE PCA,0.0625,0.0,4
