,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.5901468,0.9765084,288.0,1,0train,22,2,BNCI2014-001,CLE PCA
1,0.61221594,0.9940758,288.0,1,1test,22,2,BNCI2014-001,CLE PCA
2,0.5409816,1.0375209,288.0,2,0train,22,2,BNCI2014-001,CLE PCA
3,0.6182201,1.0229168,288.0,2,1test,22,2,BNCI2014-001,CLE PCA
4,0.5826802,0.900141,288.0,3,0train,22,2,BNCI2014-001,CLE PCA
5,0.5867971,0.9361639,288.0,3,1test,22,2,BNCI2014-001,CLE PCA
6,0.5381824,1.0115571,288.0,4,0train,22,2,BNCI2014-001,CLE PCA
7,0.5631802,0.98029613,288.0,4,1test,22,2,BNCI2014-001,CLE PCA
8,0.5234804,0.96897984,288.0,5,0train,22,2,BNCI2014-001,CLE PCA
9,0.5102646,1.0406518,288.0,5,1test,22,2,BNCI2014-001,CLE PCA
10,0.5369296,0.868556,288.0,6,0train,22,2,BNCI2014-001,CLE PCA
11,0.54147553,1.008997,288.0,6,1test,22,2,BNCI2014-001,CLE PCA
12,0.5565105,1.1305127,288.0,7,0train,22,2,BNCI2014-001,CLE PCA
13,0.56300104,0.9671459,288.0,7,1test,22,2,BNCI2014-001,CLE PCA
14,0.54921705,1.1051571,288.0,8,0train,22,2,BNCI2014-001,CLE PCA
15,0.5541608,1.0698829,288.0,8,1test,22,2,BNCI2014-001,CLE PCA
16,0.56337327,0.97753286,288.0,9,0train,22,2,BNCI2014-001,CLE PCA
17,0.6103868,1.1079249,288.0,9,1test,22,2,BNCI2014-001,CLE PCA
18,0.57088625,9.518122,288.0,1,0train,22,2,BNCI2014-001,AIR PCA
19,0.5944999,1.8917391,288.0,1,1test,22,2,BNCI2014-001,AIR PCA
20,0.5186206,1.6586671,288.0,2,0train,22,2,BNCI2014-001,AIR PCA
21,0.6130528,1.6284051,288.0,2,1test,22,2,BNCI2014-001,AIR PCA
22,0.53664875,1.607059,288.0,3,0train,22,2,BNCI2014-001,AIR PCA
23,0.550334,1.6060808,288.0,3,1test,22,2,BNCI2014-001,AIR PCA
24,0.5141306,1.6291101,288.0,4,0train,22,2,BNCI2014-001,AIR PCA
25,0.54477066,1.7032738,288.0,4,1test,22,2,BNCI2014-001,AIR PCA
26,0.50324965,1.713795,288.0,5,0train,22,2,BNCI2014-001,AIR PCA
27,0.49712995,1.7069838,288.0,5,1test,22,2,BNCI2014-001,AIR PCA
28,0.51296985,1.641047,288.0,6,0train,22,2,BNCI2014-001,AIR PCA
29,0.5212533,1.675416,288.0,6,1test,22,2,BNCI2014-001,AIR PCA
30,0.5358901,1.6725171,288.0,7,0train,22,2,BNCI2014-001,AIR PCA
31,0.5341902,1.676902,288.0,7,1test,22,2,BNCI2014-001,AIR PCA
32,0.5276685,1.641993,288.0,8,0train,22,2,BNCI2014-001,AIR PCA
33,0.52662253,1.7168088,288.0,8,1test,22,2,BNCI2014-001,AIR PCA
34,0.54508317,1.7023768,288.0,9,0train,22,2,BNCI2014-001,AIR PCA
35,0.59060776,1.69698,288.0,9,1test,22,2,BNCI2014-001,AIR PCA
36,0.5901468,1.0025837,288.0,1,0train,22,2,BNCI2014-001,LE PCA
37,0.61221594,1.032748,288.0,1,1test,22,2,BNCI2014-001,LE PCA
38,0.5409816,0.977365,288.0,2,0train,22,2,BNCI2014-001,LE PCA
39,0.6182201,1.0144167,288.0,2,1test,22,2,BNCI2014-001,LE PCA
40,0.5826802,0.96350574,288.0,3,0train,22,2,BNCI2014-001,LE PCA
41,0.5867971,0.92243505,288.0,3,1test,22,2,BNCI2014-001,LE PCA
42,0.5381824,1.0853767,288.0,4,0train,22,2,BNCI2014-001,LE PCA
43,0.5631802,1.0560651,288.0,4,1test,22,2,BNCI2014-001,LE PCA
44,0.5234804,1.0134072,288.0,5,0train,22,2,BNCI2014-001,LE PCA
45,0.5102646,1.0608509,288.0,5,1test,22,2,BNCI2014-001,LE PCA
46,0.5369296,1.0383999,288.0,6,0train,22,2,BNCI2014-001,LE PCA
47,0.54147553,1.0017242,288.0,6,1test,22,2,BNCI2014-001,LE PCA
48,0.5565105,0.96180916,288.0,7,0train,22,2,BNCI2014-001,LE PCA
49,0.56300104,0.94821715,288.0,7,1test,22,2,BNCI2014-001,LE PCA
50,0.54921705,1.1218312,288.0,8,0train,22,2,BNCI2014-001,LE PCA
51,0.5541608,0.9934411,288.0,8,1test,22,2,BNCI2014-001,LE PCA
52,0.56337327,1.112756,288.0,9,0train,22,2,BNCI2014-001,LE PCA
53,0.6103868,1.048116,288.0,9,1test,22,2,BNCI2014-001,LE PCA
54,0.5901468,5.441275,288.0,1,0train,22,2,BNCI2014-001,GLE PCA
55,0.61221594,5.131848,288.0,1,1test,22,2,BNCI2014-001,GLE PCA
56,0.5409816,5.150026,288.0,2,0train,22,2,BNCI2014-001,GLE PCA
57,0.61820364,5.536544,288.0,2,1test,22,2,BNCI2014-001,GLE PCA
58,0.5826802,5.406086,288.0,3,0train,22,2,BNCI2014-001,GLE PCA
59,0.5867971,4.8461742,288.0,3,1test,22,2,BNCI2014-001,GLE PCA
60,0.53768593,5.702621,288.0,4,0train,22,2,BNCI2014-001,GLE PCA
61,0.5633112,5.674739,288.0,4,1test,22,2,BNCI2014-001,GLE PCA
62,0.5234787,5.1592298,288.0,5,0train,22,2,BNCI2014-001,GLE PCA
63,0.51027286,4.9830675,288.0,5,1test,22,2,BNCI2014-001,GLE PCA
64,0.5369296,4.4561787,288.0,6,0train,22,2,BNCI2014-001,GLE PCA
65,0.54147553,4.7084694,288.0,6,1test,22,2,BNCI2014-001,GLE PCA
66,0.5565105,5.368659,288.0,7,0train,22,2,BNCI2014-001,GLE PCA
67,0.5631234,4.9998016,288.0,7,1test,22,2,BNCI2014-001,GLE PCA
68,0.5490894,5.315057,288.0,8,0train,22,2,BNCI2014-001,GLE PCA
69,0.5541589,5.7545767,288.0,8,1test,22,2,BNCI2014-001,GLE PCA
70,0.5633724,5.598788,288.0,9,0train,22,2,BNCI2014-001,GLE PCA
71,0.61010784,5.117514,288.0,9,1test,22,2,BNCI2014-001,GLE PCA
72,0.69613624,19.31828,600.0,1,0train,3,5,BNCI2014-004,GLE PCA
73,0.65167487,18.714962,600.0,1,1train,3,5,BNCI2014-004,GLE PCA
74,0.7188166,16.174576,560.0,1,2train,3,5,BNCI2014-004,GLE PCA
75,0.67195535,16.565002,560.0,1,3test,3,5,BNCI2014-004,GLE PCA
76,0.6678498,15.525845,560.0,1,4test,3,5,BNCI2014-004,GLE PCA
77,0.64011276,17.128551,560.0,2,0train,3,5,BNCI2014-004,GLE PCA
78,0.59648407,16.242294,560.0,2,1train,3,5,BNCI2014-004,GLE PCA
79,0.60721177,15.058696,520.0,2,2train,3,5,BNCI2014-004,GLE PCA
80,0.62605494,17.974173,560.0,2,3test,3,5,BNCI2014-004,GLE PCA
81,0.5801438,14.270686,520.0,2,4test,3,5,BNCI2014-004,GLE PCA
82,0.7614718,20.610065,600.0,3,0train,3,5,BNCI2014-004,GLE PCA
83,0.7860754,19.615772,600.0,3,1train,3,5,BNCI2014-004,GLE PCA
84,0.69550073,17.693474,560.0,3,2train,3,5,BNCI2014-004,GLE PCA
85,0.71383226,16.633009,560.0,3,3test,3,5,BNCI2014-004,GLE PCA
