,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,AIR PCA,AIR PCA,0.001953125,0.0,9
1,001-2014,1,CLE PCA,AIR PCA,0.001953125,3.3460450172424316,9
2,001-2014,2,GLE PCA,AIR PCA,0.001953125,3.3335607051849365,9
3,001-2014,3,LE PCA,AIR PCA,0.001953125,3.3460450172424316,9
4,001-2014,4,AIR PCA,CLE PCA,0.998046875,-3.3460450172424316,9
5,001-2014,5,CLE PCA,CLE PCA,0.001953125,0.0,9
6,001-2014,6,GLE PCA,CLE PCA,0.861328125,-0.3371169865131378,9
7,001-2014,7,LE PCA,CLE PCA,0.001953125,,9
8,001-2014,8,AIR PCA,GLE PCA,0.998046875,-3.3335607051849365,9
9,001-2014,9,CLE PCA,GLE PCA,0.126953125,0.3371169865131378,9
10,001-2014,10,GLE PCA,GLE PCA,0.001953125,0.0,9
11,001-2014,11,LE PCA,GLE PCA,0.126953125,0.3371169865131378,9
12,001-2014,12,AIR PCA,LE PCA,0.998046875,-3.3460450172424316,9
13,001-2014,13,CLE PCA,LE PCA,0.001953125,,9
14,001-2014,14,GLE PCA,LE PCA,0.861328125,-0.3371169865131378,9
15,001-2014,15,LE PCA,LE PCA,0.001953125,0.0,9
16,004-2015,0,AIR PCA,AIR PCA,0.001953125,0.0,9
17,004-2015,1,CLE PCA,AIR PCA,0.001953125,2.4311583042144775,9
18,004-2015,2,GLE PCA,AIR PCA,0.001953125,2.4361228942871094,9
19,004-2015,3,LE PCA,AIR PCA,0.001953125,2.4311583042144775,9
20,004-2015,4,AIR PCA,CLE PCA,0.998046875,-2.4311583042144775,9
21,004-2015,5,CLE PCA,CLE PCA,0.001953125,0.0,9
22,004-2015,6,GLE PCA,CLE PCA,0.431640625,0.03659293055534363,9
23,004-2015,7,LE PCA,CLE PCA,0.001953125,,9
24,004-2015,8,AIR PCA,GLE PCA,0.998046875,-2.4361228942871094,9
25,004-2015,9,CLE PCA,GLE PCA,0.568359375,-0.03659293055534363,9
26,004-2015,10,GLE PCA,GLE PCA,0.001953125,0.0,9
27,004-2015,11,LE PCA,GLE PCA,0.568359375,-0.03659293055534363,9
28,004-2015,12,AIR PCA,LE PCA,0.998046875,-2.4311583042144775,9
29,004-2015,13,CLE PCA,LE PCA,0.001953125,,9
30,004-2015,14,GLE PCA,LE PCA,0.431640625,0.03659293055534363,9
31,004-2015,15,LE PCA,LE PCA,0.001953125,0.0,9
32,Zhou 2016,0,AIR PCA,AIR PCA,0.0625,0.0,4
33,Zhou 2016,1,CLE PCA,AIR PCA,0.0625,1.8699113130569458,4
34,Zhou 2016,2,GLE PCA,AIR PCA,0.0625,1.5216789245605469,4
35,Zhou 2016,3,LE PCA,AIR PCA,0.0625,1.8699113130569458,4
36,Zhou 2016,4,AIR PCA,CLE PCA,0.9375,-1.8699113130569458,4
37,Zhou 2016,5,CLE PCA,CLE PCA,0.0625,0.0,4
38,Zhou 2016,6,GLE PCA,CLE PCA,0.9375,-0.5076215863227844,4
39,Zhou 2016,7,LE PCA,CLE PCA,0.0625,,4
40,Zhou 2016,8,AIR PCA,GLE PCA,0.9375,-1.5216789245605469,4
41,Zhou 2016,9,CLE PCA,GLE PCA,0.0625,0.5076215863227844,4
42,Zhou 2016,10,GLE PCA,GLE PCA,0.0625,0.0,4
43,Zhou 2016,11,LE PCA,GLE PCA,0.0625,0.5076215863227844,4
44,Zhou 2016,12,AIR PCA,LE PCA,0.9375,-1.8699113130569458,4
45,Zhou 2016,13,CLE PCA,LE PCA,0.0625,,4
46,Zhou 2016,14,GLE PCA,LE PCA,0.9375,-0.5076215863227844,4
47,Zhou 2016,15,LE PCA,LE PCA,0.0625,0.0,4
