,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8657407,93.60969,216.0,1,session_E,22,2,001-2014,LSVC
1,0.8287037,86.3416,216.0,1,session_T,22,2,001-2014,LSVC
2,0.6157407,91.557076,216.0,2,session_E,22,2,001-2014,LSVC
3,0.662037,79.95815,216.0,2,session_T,22,2,001-2014,LSVC
4,0.9305556,80.73243,216.0,3,session_E,22,2,001-2014,LSVC
5,0.8935185,82.15401,216.0,3,session_T,22,2,001-2014,LSVC
6,0.7175926,94.12584,216.0,4,session_E,22,2,001-2014,LSVC
7,0.625,90.70673,216.0,4,session_T,22,2,001-2014,LSVC
8,0.5416667,93.39936,216.0,5,session_E,22,2,001-2014,LSVC
9,0.49537036,87.945526,216.0,5,session_T,22,2,001-2014,LSVC
10,0.5601852,89.95916,216.0,6,session_E,22,2,001-2014,LSVC
11,0.5972222,81.798904,216.0,6,session_T,22,2,001-2014,LSVC
12,0.7638889,91.30702,216.0,7,session_E,22,2,001-2014,LSVC
13,0.7638889,92.715485,216.0,7,session_T,22,2,001-2014,LSVC
14,0.75,77.72747,216.0,8,session_E,22,2,001-2014,LSVC
15,0.7916667,86.14708,216.0,8,session_T,22,2,001-2014,LSVC
16,0.7824074,7063.945,216.0,9,session_E,22,2,001-2014,LSVC
17,0.6157407,14171.753,216.0,9,session_T,22,2,001-2014,LSVC
18,0.4,54.9503,120.0,1,session_0,30,2,004-2015,LSVC
19,0.30833334,60.821617,120.0,1,session_1,30,2,004-2015,LSVC
20,0.425,50.84385,120.0,2,session_0,30,2,004-2015,LSVC
21,0.35,58.233307,120.0,2,session_1,30,2,004-2015,LSVC
22,0.41666666,66.54254,120.0,3,session_0,30,2,004-2015,LSVC
23,0.40833333,51.76636,120.0,3,session_1,30,2,004-2015,LSVC
24,0.43333334,50.20416,105.0,4,session_0,30,2,004-2015,LSVC
25,0.4952381,56.673233,120.0,4,session_1,30,2,004-2015,LSVC
