,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,LSVC,LSVC,0.001953125,0.0,9
1,001-2014,1,LogReg,LSVC,0.498046875,3.716869514391874e-07,9
2,001-2014,2,LSVC,LogReg,0.501953125,-3.716869514391874e-07,9
3,001-2014,3,LogReg,LogReg,0.001953125,0.0,9
4,004-2015,0,LSVC,LSVC,0.001953125,0.0,9
5,004-2015,1,LogReg,LSVC,0.884765625,-0.4458024203777313,9
6,004-2015,2,LSVC,LogReg,0.111328125,0.4458024203777313,9
7,004-2015,3,LogReg,LogReg,0.001953125,0.0,9
8,Zhou 2016,0,LSVC,LSVC,0.0625,0.0,4
9,Zhou 2016,1,LogReg,LSVC,0.625,-0.21912768483161926,4
10,Zhou 2016,2,LSVC,LogReg,0.4375,0.21912768483161926,4
11,Zhou 2016,3,LogReg,LogReg,0.0625,0.0,4
