,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8657407,69.55719,216.0,1,session_E,22,2,001-2014,CLE PCA no scale
1,0.8611111,75.42103,216.0,1,session_T,22,2,001-2014,CLE PCA no scale
2,0.6527778,77.05853,216.0,2,session_E,22,2,001-2014,CLE PCA no scale
3,0.6666667,70.085495,216.0,2,session_T,22,2,001-2014,CLE PCA no scale
4,0.9444444,70.91906,216.0,3,session_E,22,2,001-2014,CLE PCA no scale
5,0.9027778,72.07819,216.0,3,session_T,22,2,001-2014,CLE PCA no scale
6,0.7731481,76.50837,216.0,4,session_E,22,2,001-2014,CLE PCA no scale
7,0.625,72.6023,216.0,4,session_T,22,2,001-2014,CLE PCA no scale
8,0.5416667,80.123505,216.0,5,session_E,22,2,001-2014,CLE PCA no scale
9,0.4814815,85.00633,216.0,5,session_T,22,2,001-2014,CLE PCA no scale
10,0.5601852,76.36798,216.0,6,session_E,22,2,001-2014,CLE PCA no scale
11,0.6435185,74.311584,216.0,6,session_T,22,2,001-2014,CLE PCA no scale
12,0.8240741,75.98211,216.0,7,session_E,22,2,001-2014,CLE PCA no scale
13,0.8194444,74.08925,216.0,7,session_T,22,2,001-2014,CLE PCA no scale
14,0.7453704,67.29263,216.0,8,session_E,22,2,001-2014,CLE PCA no scale
15,0.787037,68.874794,216.0,8,session_T,22,2,001-2014,CLE PCA no scale
16,0.7777778,67.24704,216.0,9,session_E,22,2,001-2014,CLE PCA no scale
17,0.6157407,69.020134,216.0,9,session_T,22,2,001-2014,CLE PCA no scale
18,0.325,43.818134,120.0,1,session_0,30,2,004-2015,CLE PCA no scale
19,0.34166667,43.940495,120.0,1,session_1,30,2,004-2015,CLE PCA no scale
20,0.39166668,39.691063,120.0,2,session_0,30,2,004-2015,CLE PCA no scale
21,0.35,43.416763,120.0,2,session_1,30,2,004-2015,CLE PCA no scale
22,0.41666666,47.1123,120.0,3,session_0,30,2,004-2015,CLE PCA no scale
23,0.4,40.24565,120.0,3,session_1,30,2,004-2015,CLE PCA no scale
24,0.425,32.714046,105.0,4,session_0,30,2,004-2015,CLE PCA no scale
25,0.51428574,43.66374,120.0,4,session_1,30,2,004-2015,CLE PCA no scale
26,0.41666666,38.67755,120.0,5,session_0,30,2,004-2015,CLE PCA no scale
27,0.45,38.45921,120.0,5,session_1,30,2,004-2015,CLE PCA no scale
28,0.56666666,39.510506,120.0,6,session_0,30,2,004-2015,CLE PCA no scale
29,0.53333336,47.32751,120.0,6,session_1,30,2,004-2015,CLE PCA no scale
30,0.35833332,30.829885,105.0,7,session_0,30,2,004-2015,CLE PCA no scale
31,0.40952381,43.63155,120.0,7,session_1,30,2,004-2015,CLE PCA no scale
32,0.35833332,41.85095,120.0,8,session_0,30,2,004-2015,CLE PCA no scale
33,0.34166667,44.98825,120.0,8,session_1,30,2,004-2015,CLE PCA no scale
34,0.49166667,44.22888,120.0,9,session_0,30,2,004-2015,CLE PCA no scale
35,0.60833335,44.179085,120.0,9,session_1,30,2,004-2015,CLE PCA no scale
36,0.7094972,53.085144,300.0,1,session_0,14,3,Zhou 2016,CLE PCA no scale
37,0.7866667,57.17028,329.0,1,session_1,14,3,Zhou 2016,CLE PCA no scale
38,0.82,57.173084,329.0,1,session_2,14,3,Zhou 2016,CLE PCA no scale
39,0.78,50.089397,285.0,2,session_0,14,3,Zhou 2016,CLE PCA no scale
40,0.7777778,52.67523,300.0,2,session_1,14,3,Zhou 2016,CLE PCA no scale
41,0.8333333,47.769157,285.0,2,session_2,14,3,Zhou 2016,CLE PCA no scale
42,0.9,53.237793,301.0,3,session_0,14,3,Zhou 2016,CLE PCA no scale
43,0.74172187,49.22729,300.0,3,session_1,14,3,Zhou 2016,CLE PCA no scale
44,0.88,51.12237,301.0,3,session_2,14,3,Zhou 2016,CLE PCA no scale
45,0.9111111,49.332027,300.0,4,session_0,14,3,Zhou 2016,CLE PCA no scale
46,0.81333333,46.065987,285.0,4,session_1,14,3,Zhou 2016,CLE PCA no scale
47,0.88,46.958435,285.0,4,session_2,14,3,Zhou 2016,CLE PCA no scale
48,0.8657407,78.29514,216.0,1,session_E,22,2,001-2014,CLE PCA scale
49,0.8287037,77.86327,216.0,1,session_T,22,2,001-2014,CLE PCA scale
50,0.6157407,79.5003,216.0,2,session_E,22,2,001-2014,CLE PCA scale
51,0.662037,69.60542,216.0,2,session_T,22,2,001-2014,CLE PCA scale
52,0.9305556,72.524796,216.0,3,session_E,22,2,001-2014,CLE PCA scale
53,0.8935185,71.49227,216.0,3,session_T,22,2,001-2014,CLE PCA scale
54,0.7175926,80.3709,216.0,4,session_E,22,2,001-2014,CLE PCA scale
55,0.625,80.20458,216.0,4,session_T,22,2,001-2014,CLE PCA scale
56,0.5416667,76.93669,216.0,5,session_E,22,2,001-2014,CLE PCA scale
57,0.49537036,70.47295,216.0,5,session_T,22,2,001-2014,CLE PCA scale
58,0.5601852,78.231804,216.0,6,session_E,22,2,001-2014,CLE PCA scale
59,0.5972222,70.39969,216.0,6,session_T,22,2,001-2014,CLE PCA scale
60,0.787037,71.23222,216.0,7,session_E,22,2,001-2014,CLE PCA scale
61,0.7638889,81.40634,216.0,7,session_T,22,2,001-2014,CLE PCA scale
62,0.7453704,68.57752,216.0,8,session_E,22,2,001-2014,CLE PCA scale
63,0.7916667,77.86664,216.0,8,session_T,22,2,001-2014,CLE PCA scale
64,0.7407407,67.32956,216.0,9,session_E,22,2,001-2014,CLE PCA scale
65,0.6157407,68.92832,216.0,9,session_T,22,2,001-2014,CLE PCA scale
66,0.375,40.40954,120.0,1,session_0,30,2,004-2015,CLE PCA scale
67,0.30833334,46.220848,120.0,1,session_1,30,2,004-2015,CLE PCA scale
68,0.425,39.080357,120.0,2,session_0,30,2,004-2015,CLE PCA scale
69,0.4,41.652493,120.0,2,session_1,30,2,004-2015,CLE PCA scale
70,0.41666666,45.452408,120.0,3,session_0,30,2,004-2015,CLE PCA scale
71,0.40833333,40.275528,120.0,3,session_1,30,2,004-2015,CLE PCA scale
72,0.43333334,32.01376,105.0,4,session_0,30,2,004-2015,CLE PCA scale
73,0.4952381,42.385418,120.0,4,session_1,30,2,004-2015,CLE PCA scale
74,0.41666666,39.242897,120.0,5,session_0,30,2,004-2015,CLE PCA scale
75,0.44166666,39.167915,120.0,5,session_1,30,2,004-2015,CLE PCA scale
76,0.53333336,38.71969,120.0,6,session_0,30,2,004-2015,CLE PCA scale
77,0.45833334,45.807426,120.0,6,session_1,30,2,004-2015,CLE PCA scale
78,0.375,30.319368,105.0,7,session_0,30,2,004-2015,CLE PCA scale
79,0.4,45.93463,120.0,7,session_1,30,2,004-2015,CLE PCA scale
80,0.36666667,41.016342,120.0,8,session_0,30,2,004-2015,CLE PCA scale
81,0.33333334,43.92203,120.0,8,session_1,30,2,004-2015,CLE PCA scale
82,0.59166664,39.594715,120.0,9,session_0,30,2,004-2015,CLE PCA scale
83,0.6166667,41.09377,120.0,9,session_1,30,2,004-2015,CLE PCA scale
84,0.6815643,51.452633,300.0,1,session_0,14,3,Zhou 2016,CLE PCA scale
85,0.78,57.35558,329.0,1,session_1,14,3,Zhou 2016,CLE PCA scale
86,0.8066667,57.850258,329.0,1,session_2,14,3,Zhou 2016,CLE PCA scale
87,0.75333333,51.440063,285.0,2,session_0,14,3,Zhou 2016,CLE PCA scale
88,0.78518516,50.811832,300.0,2,session_1,14,3,Zhou 2016,CLE PCA scale
89,0.85333335,47.68798,285.0,2,session_2,14,3,Zhou 2016,CLE PCA scale
90,0.9066667,51.49475,301.0,3,session_0,14,3,Zhou 2016,CLE PCA scale
91,0.794702,50.010635,300.0,3,session_1,14,3,Zhou 2016,CLE PCA scale
92,0.88666666,53.3072,301.0,3,session_2,14,3,Zhou 2016,CLE PCA scale
93,0.8518519,50.853184,300.0,4,session_0,14,3,Zhou 2016,CLE PCA scale
94,0.7733333,46.7746,285.0,4,session_1,14,3,Zhou 2016,CLE PCA scale
