,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,CLE PCA no scale,CLE PCA no scale,0.001953125,0.0,9
1,001-2014,1,CLE PCA scale,CLE PCA no scale,0.994140625,-1.0884603261947632,9
2,001-2014,2,CLE PCA no scale,CLE PCA scale,0.0078125,1.0884603261947632,9
3,001-2014,3,CLE PCA scale,CLE PCA scale,0.001953125,0.0,9
4,004-2015,0,CLE PCA no scale,CLE PCA no scale,0.001953125,0.0,9
5,004-2015,1,CLE PCA scale,CLE PCA no scale,0.330078125,0.1750628650188446,9
6,004-2015,2,CLE PCA no scale,CLE PCA scale,0.669921875,-0.1750628650188446,9
7,004-2015,3,CLE PCA scale,CLE PCA scale,0.001953125,0.0,9
8,Zhou 2016,0,CLE PCA no scale,CLE PCA no scale,0.0625,0.0,4
9,Zhou 2016,1,CLE PCA scale,CLE PCA no scale,0.6875,-0.2540687024593353,4
10,Zhou 2016,2,CLE PCA no scale,CLE PCA scale,0.375,0.2540687024593353,4
11,Zhou 2016,3,CLE PCA scale,CLE PCA scale,0.0625,0.0,4
