,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7638889,434.7262,288.0,1,0train,22,2,BNCI2014-001,AIR LLE
1,0.7986111,360.95807,288.0,1,1test,22,2,BNCI2014-001,AIR LLE
2,0.5104167,339.77594,288.0,2,0train,22,2,BNCI2014-001,AIR LLE
3,0.53125,341.25656,288.0,2,1test,22,2,BNCI2014-001,AIR LLE
4,0.7361111,358.33258,288.0,3,0train,22,2,BNCI2014-001,AIR LLE
5,0.8229167,351.5492,288.0,3,1test,22,2,BNCI2014-001,AIR LLE
6,0.5243056,360.60907,288.0,4,0train,22,2,BNCI2014-001,AIR LLE
7,0.5034722,371.2163,288.0,4,1test,22,2,BNCI2014-001,AIR LLE
8,0.32291666,360.53796,288.0,5,0train,22,2,BNCI2014-001,AIR LLE
9,0.4236111,351.0134,288.0,5,1test,22,2,BNCI2014-001,AIR LLE
10,0.44791666,351.86914,288.0,6,0train,22,2,BNCI2014-001,AIR LLE
11,0.4652778,351.32953,288.0,6,1test,22,2,BNCI2014-001,AIR LLE
12,0.6111111,346.7879,288.0,7,0train,22,2,BNCI2014-001,AIR LLE
13,0.71875,344.26672,288.0,7,1test,22,2,BNCI2014-001,AIR LLE
14,0.7534722,344.90262,288.0,8,0train,22,2,BNCI2014-001,AIR LLE
15,0.7534722,339.50034,288.0,8,1test,22,2,BNCI2014-001,AIR LLE
16,0.6666667,338.26898,288.0,9,0train,22,2,BNCI2014-001,AIR LLE
17,0.7777778,342.75427,288.0,9,1test,22,2,BNCI2014-001,AIR LLE
18,0.7604167,202.15004,288.0,1,0train,22,2,BNCI2014-001,CLE LLE
19,0.7777778,202.28577,288.0,1,1test,22,2,BNCI2014-001,CLE LLE
20,0.47569445,196.54597,288.0,2,0train,22,2,BNCI2014-001,CLE LLE
21,0.5104167,199.61435,288.0,2,1test,22,2,BNCI2014-001,CLE LLE
22,0.7708333,212.36993,288.0,3,0train,22,2,BNCI2014-001,CLE LLE
23,0.8263889,203.91312,288.0,3,1test,22,2,BNCI2014-001,CLE LLE
24,0.5208333,202.57986,288.0,4,0train,22,2,BNCI2014-001,CLE LLE
25,0.5104167,209.22961,288.0,4,1test,22,2,BNCI2014-001,CLE LLE
26,0.38194445,207.65598,288.0,5,0train,22,2,BNCI2014-001,CLE LLE
27,0.43055555,205.16367,288.0,5,1test,22,2,BNCI2014-001,CLE LLE
28,0.4236111,205.45099,288.0,6,0train,22,2,BNCI2014-001,CLE LLE
29,0.45833334,206.76637,288.0,6,1test,22,2,BNCI2014-001,CLE LLE
30,0.5520833,237.67651,288.0,7,0train,22,2,BNCI2014-001,CLE LLE
