,dataset,index,pipe1,pipe2,p,smd,nsub
0,BNCI2014-001,0,AIR LLE,AIR LLE,0.001953125,0.0,9
1,BNCI2014-001,1,CLE LLE,AIR LLE,0.81640625,-0.3240528106689453,9
2,BNCI2014-001,2,GLE LLE,AIR LLE,0.998046875,-1.6373244524002075,9
3,BNCI2014-001,3,LE LLE,AIR LLE,0.998046875,-2.7162036895751953,9
4,BNCI2014-001,4,AIR LLE,CLE LLE,0.185546875,0.3240528106689453,9
5,BNCI2014-001,5,CLE LLE,CLE LLE,0.001953125,0.0,9
6,BNCI2014-001,6,GLE LLE,CLE LLE,0.998046875,-1.7649738788604736,9
7,BNCI2014-001,7,LE LLE,CLE LLE,0.998046875,-2.3373358249664307,9
8,BNCI2014-001,8,AIR LLE,GLE LLE,0.001953125,1.6373244524002075,9
9,BNCI2014-001,9,CLE LLE,GLE LLE,0.001953125,1.7649738788604736,9
10,BNCI2014-001,10,GLE LLE,GLE LLE,0.001953125,0.0,9
11,BNCI2014-001,11,LE LLE,GLE LLE,0.9921875,-0.9688233733177185,9
12,BNCI2014-001,12,AIR LLE,LE LLE,0.001953125,2.7162036895751953,9
13,BNCI2014-001,13,CLE LLE,LE LLE,0.001953125,2.3373358249664307,9
14,BNCI2014-001,14,GLE LLE,LE LLE,0.009765625,0.9688233733177185,9
15,BNCI2014-001,15,LE LLE,LE LLE,0.001953125,0.0,9
16,BNCI2014-004,0,AIR LLE,AIR LLE,0.001953125,0.0,9
17,BNCI2014-004,1,CLE LLE,AIR LLE,0.86328125,-0.3842681646347046,9
18,BNCI2014-004,2,GLE LLE,AIR LLE,0.951171875,-0.6363049745559692,9
19,BNCI2014-004,3,LE LLE,AIR LLE,0.978515625,-0.8438854217529297,9
20,BNCI2014-004,4,AIR LLE,CLE LLE,0.138671875,0.3842681646347046,9
21,BNCI2014-004,5,CLE LLE,CLE LLE,0.001953125,0.0,9
22,BNCI2014-004,6,GLE LLE,CLE LLE,0.8984375,-0.45534566044807434,9
23,BNCI2014-004,7,LE LLE,CLE LLE,0.962890625,-0.6919975280761719,9
24,BNCI2014-004,8,AIR LLE,GLE LLE,0.05078125,0.6363049745559692,9
25,BNCI2014-004,9,CLE LLE,GLE LLE,0.103515625,0.45534566044807434,9
26,BNCI2014-004,10,GLE LLE,GLE LLE,0.001953125,0.0,9
27,BNCI2014-004,11,LE LLE,GLE LLE,0.888671875,-0.43113452196121216,9
28,BNCI2014-004,12,AIR LLE,LE LLE,0.0234375,0.8438854217529297,9
29,BNCI2014-004,13,CLE LLE,LE LLE,0.0390625,0.6919975280761719,9
30,BNCI2014-004,14,GLE LLE,LE LLE,0.11328125,0.43113452196121216,9
31,BNCI2014-004,15,LE LLE,LE LLE,0.001953125,0.0,9
32,BNCI2015-001,0,AIR LLE,AIR LLE,0.000244140625,0.0,12
33,BNCI2015-001,1,CLE LLE,AIR LLE,0.71923828125,-0.17423512041568756,12
34,BNCI2015-001,2,GLE LLE,AIR LLE,0.862548828125,-0.33127346634864807,12
35,BNCI2015-001,3,LE LLE,AIR LLE,0.99853515625,-1.0618866682052612,12
36,BNCI2015-001,4,AIR LLE,CLE LLE,0.278564453125,0.17423512041568756,12
37,BNCI2015-001,5,CLE LLE,CLE LLE,0.000244140625,0.0,12
38,BNCI2015-001,6,GLE LLE,CLE LLE,0.891357421875,-0.3751615285873413,12
39,BNCI2015-001,7,LE LLE,CLE LLE,0.999755859375,-1.5274572372436523,12
40,BNCI2015-001,8,AIR LLE,GLE LLE,0.1376953125,0.33127346634864807,12
41,BNCI2015-001,9,CLE LLE,GLE LLE,0.108154296875,0.3751615285873413,12
42,BNCI2015-001,10,GLE LLE,GLE LLE,0.000244140625,0.0,12
43,BNCI2015-001,11,LE LLE,GLE LLE,0.999755859375,-2.0653698444366455,12
44,BNCI2015-001,12,AIR LLE,LE LLE,0.001708984375,1.0618866682052612,12
45,BNCI2015-001,13,CLE LLE,LE LLE,0.000244140625,1.5274572372436523,12
