,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.4090552,4.240964,288.0,1,0train,22,2,BNCI2014-001,LE LLE
1,0.44712934,3.369151,288.0,1,1test,22,2,BNCI2014-001,LE LLE
2,0.4356659,3.103129,288.0,2,0train,22,2,BNCI2014-001,LE LLE
3,0.47735688,3.358816,288.0,2,1test,22,2,BNCI2014-001,LE LLE
4,0.38556007,3.5319638,288.0,3,0train,22,2,BNCI2014-001,LE LLE
5,0.35011953,3.908838,288.0,3,1test,22,2,BNCI2014-001,LE LLE
6,0.34896478,3.493648,288.0,4,0train,22,2,BNCI2014-001,LE LLE
7,0.41964927,3.616415,288.0,4,1test,22,2,BNCI2014-001,LE LLE
8,0.3743735,3.394024,288.0,5,0train,22,2,BNCI2014-001,LE LLE
9,0.36462417,3.649428,288.0,5,1test,22,2,BNCI2014-001,LE LLE
10,0.31700546,3.0136042,288.0,6,0train,22,2,BNCI2014-001,LE LLE
11,0.34216782,3.3063288,288.0,6,1test,22,2,BNCI2014-001,LE LLE
12,0.38305676,3.22982,288.0,7,0train,22,2,BNCI2014-001,LE LLE
13,0.3743778,3.576638,288.0,7,1test,22,2,BNCI2014-001,LE LLE
14,0.30133736,3.1344037,288.0,8,0train,22,2,BNCI2014-001,LE LLE
15,0.305844,3.239689,288.0,8,1test,22,2,BNCI2014-001,LE LLE
16,0.30449796,3.636728,288.0,9,0train,22,2,BNCI2014-001,LE LLE
17,0.30126154,3.0309057,288.0,9,1test,22,2,BNCI2014-001,LE LLE
18,0.5135571,36.787266,288.0,1,0train,22,2,BNCI2014-001,AIR LLE
19,0.54066265,30.425198,288.0,1,1test,22,2,BNCI2014-001,AIR LLE
20,0.49654916,42.972015,288.0,2,0train,22,2,BNCI2014-001,AIR LLE
21,0.5335302,34.7347,288.0,2,1test,22,2,BNCI2014-001,AIR LLE
22,0.5080487,34.75896,288.0,3,0train,22,2,BNCI2014-001,AIR LLE
23,0.52241254,38.306828,288.0,3,1test,22,2,BNCI2014-001,AIR LLE
24,0.48430496,47.774506,288.0,4,0train,22,2,BNCI2014-001,AIR LLE
25,0.5111306,39.413704,288.0,4,1test,22,2,BNCI2014-001,AIR LLE
26,0.49171785,38.311558,288.0,5,0train,22,2,BNCI2014-001,AIR LLE
27,0.48092508,33.40728,288.0,5,1test,22,2,BNCI2014-001,AIR LLE
28,0.483018,34.66973,288.0,6,0train,22,2,BNCI2014-001,AIR LLE
29,0.4883771,37.867218,288.0,6,1test,22,2,BNCI2014-001,AIR LLE
30,0.50578386,35.273777,288.0,7,0train,22,2,BNCI2014-001,AIR LLE
31,0.5047525,35.4431,288.0,7,1test,22,2,BNCI2014-001,AIR LLE
32,0.47979543,39.507442,288.0,8,0train,22,2,BNCI2014-001,AIR LLE
33,0.4830758,36.466805,288.0,8,1test,22,2,BNCI2014-001,AIR LLE
34,0.4831164,5.237556,288.0,9,0train,22,2,BNCI2014-001,AIR LLE
35,0.5294444,5.232947,288.0,9,1test,22,2,BNCI2014-001,AIR LLE
36,0.48422062,25.838173,288.0,1,0train,22,2,BNCI2014-001,GLE LLE
37,0.49783137,29.16771,288.0,1,1test,22,2,BNCI2014-001,GLE LLE
38,0.47528756,27.396236,288.0,2,0train,22,2,BNCI2014-001,GLE LLE
39,0.51809114,26.072954,288.0,2,1test,22,2,BNCI2014-001,GLE LLE
40,0.5175966,24.887293,288.0,3,0train,22,2,BNCI2014-001,GLE LLE
41,0.5301963,27.12045,288.0,3,1test,22,2,BNCI2014-001,GLE LLE
42,0.48862842,34.81814,288.0,4,0train,22,2,BNCI2014-001,GLE LLE
43,0.45813882,32.121483,288.0,4,1test,22,2,BNCI2014-001,GLE LLE
44,0.4439465,30.531282,288.0,5,0train,22,2,BNCI2014-001,GLE LLE
45,0.41301402,25.848267,288.0,5,1test,22,2,BNCI2014-001,GLE LLE
46,0.4628659,24.233355,288.0,6,0train,22,2,BNCI2014-001,GLE LLE
47,0.484396,26.473701,288.0,6,1test,22,2,BNCI2014-001,GLE LLE
48,0.46266356,23.688211,288.0,7,0train,22,2,BNCI2014-001,GLE LLE
49,0.46686077,28.267576,288.0,7,1test,22,2,BNCI2014-001,GLE LLE
50,0.47495142,30.512115,288.0,8,0train,22,2,BNCI2014-001,GLE LLE
51,0.4863936,29.02316,288.0,8,1test,22,2,BNCI2014-001,GLE LLE
52,0.49042776,30.395458,288.0,9,0train,22,2,BNCI2014-001,GLE LLE
53,0.5131888,31.960674,288.0,9,1test,22,2,BNCI2014-001,GLE LLE
54,0.5191398,48.673042,288.0,1,0train,22,2,BNCI2014-001,CLE LLE
55,0.5539069,50.232166,288.0,1,1test,22,2,BNCI2014-001,CLE LLE
56,0.49488437,3.1525528,288.0,2,0train,22,2,BNCI2014-001,CLE LLE
57,0.54088205,30.935215,288.0,2,1test,22,2,BNCI2014-001,CLE LLE
58,0.55330205,46.236565,288.0,3,0train,22,2,BNCI2014-001,CLE LLE
59,0.5617021,44.860195,288.0,3,1test,22,2,BNCI2014-001,CLE LLE
60,0.5280708,39.535564,288.0,4,0train,22,2,BNCI2014-001,CLE LLE
61,0.5195528,49.09089,288.0,4,1test,22,2,BNCI2014-001,CLE LLE
