,dataset,index,pipe1,pipe2,p,smd,nsub
0,BNCI2014-001,0,AIR LLE,AIR LLE,0.001953125,0.0,9
1,BNCI2014-001,1,CLE LLE,AIR LLE,0.001953125,1.5598565340042114,9
2,BNCI2014-001,2,GLE LLE,AIR LLE,0.9921875,-0.9695990681648254,9
3,BNCI2014-001,3,LE LLE,AIR LLE,0.998046875,-3.0670430660247803,9
4,BNCI2014-001,4,AIR LLE,CLE LLE,0.998046875,-1.5598565340042114,9
5,BNCI2014-001,5,CLE LLE,CLE LLE,0.001953125,0.0,9
6,BNCI2014-001,6,GLE LLE,CLE LLE,0.998046875,-2.223215103149414,9
7,BNCI2014-001,7,LE LLE,CLE LLE,0.998046875,-3.0531585216522217,9
8,BNCI2014-001,8,AIR LLE,GLE LLE,0.009765625,0.9695990681648254,9
9,BNCI2014-001,9,CLE LLE,GLE LLE,0.001953125,2.223215103149414,9
10,BNCI2014-001,10,GLE LLE,GLE LLE,0.001953125,0.0,9
11,BNCI2014-001,11,LE LLE,GLE LLE,0.998046875,-1.9624662399291992,9
12,BNCI2014-001,12,AIR LLE,LE LLE,0.001953125,3.0670430660247803,9
13,BNCI2014-001,13,CLE LLE,LE LLE,0.001953125,3.0531585216522217,9
14,BNCI2014-001,14,GLE LLE,LE LLE,0.001953125,1.9624662399291992,9
15,BNCI2014-001,15,LE LLE,LE LLE,0.001953125,0.0,9
16,BNCI2014-004,0,AIR LLE,AIR LLE,0.001953125,0.0,9
17,BNCI2014-004,1,CLE LLE,AIR LLE,0.001953125,1.0288888216018677,9
18,BNCI2014-004,2,GLE LLE,AIR LLE,0.646484375,-0.14645732939243317,9
19,BNCI2014-004,3,LE LLE,AIR LLE,0.998046875,-3.2229137420654297,9
20,BNCI2014-004,4,AIR LLE,CLE LLE,0.998046875,-1.0288888216018677,9
21,BNCI2014-004,5,CLE LLE,CLE LLE,0.001953125,0.0,9
22,BNCI2014-004,6,GLE LLE,CLE LLE,0.998046875,-3.724287748336792,9
23,BNCI2014-004,7,LE LLE,CLE LLE,0.998046875,-5.606426239013672,9
24,BNCI2014-004,8,AIR LLE,GLE LLE,0.35546875,0.14645732939243317,9
25,BNCI2014-004,9,CLE LLE,GLE LLE,0.001953125,3.724287748336792,9
26,BNCI2014-004,10,GLE LLE,GLE LLE,0.001953125,0.0,9
27,BNCI2014-004,11,LE LLE,GLE LLE,0.998046875,-5.1312055587768555,9
28,BNCI2014-004,12,AIR LLE,LE LLE,0.001953125,3.2229137420654297,9
29,BNCI2014-004,13,CLE LLE,LE LLE,0.001953125,5.606426239013672,9
30,BNCI2014-004,14,GLE LLE,LE LLE,0.001953125,5.1312055587768555,9
31,BNCI2014-004,15,LE LLE,LE LLE,0.001953125,0.0,9
32,BNCI2015-001,0,AIR LLE,AIR LLE,0.000244140625,0.0,12
33,BNCI2015-001,1,CLE LLE,AIR LLE,0.000244140625,3.2734148502349854,12
34,BNCI2015-001,2,GLE LLE,AIR LLE,0.8291015625,-0.2801000773906708,12
35,BNCI2015-001,3,LE LLE,AIR LLE,0.999755859375,-2.377748727798462,12
36,BNCI2015-001,4,AIR LLE,CLE LLE,0.999755859375,-3.2734148502349854,12
37,BNCI2015-001,5,CLE LLE,CLE LLE,0.000244140625,0.0,12
38,BNCI2015-001,6,GLE LLE,CLE LLE,0.99072265625,-0.8458445072174072,12
39,BNCI2015-001,7,LE LLE,CLE LLE,0.999755859375,-2.8428709506988525,12
40,BNCI2015-001,8,AIR LLE,GLE LLE,0.171142578125,0.2801000773906708,12
41,BNCI2015-001,9,CLE LLE,GLE LLE,0.009521484375,0.8458445072174072,12
42,BNCI2015-001,10,GLE LLE,GLE LLE,0.000244140625,0.0,12
43,BNCI2015-001,11,LE LLE,GLE LLE,0.999755859375,-3.1387720108032227,12
44,BNCI2015-001,12,AIR LLE,LE LLE,0.000244140625,2.377748727798462,12
45,BNCI2015-001,13,CLE LLE,LE LLE,0.000244140625,2.8428709506988525,12
46,BNCI2015-001,14,GLE LLE,LE LLE,0.000244140625,3.1387720108032227,12
47,BNCI2015-001,15,LE LLE,LE LLE,0.000244140625,0.0,12
48,Lee2019-MI,0,AIR LLE,AIR LLE,0.0,0.0,54
49,Lee2019-MI,1,CLE LLE,AIR LLE,9.64968236930725e-09,0.9715539216995239,54
50,Lee2019-MI,2,GLE LLE,AIR LLE,0.9999999994415125,-1.6707684993743896,54
51,Lee2019-MI,3,LE LLE,AIR LLE,0.9999999998861756,-1.8900407552719116,54
52,Lee2019-MI,4,AIR LLE,CLE LLE,0.9999999903503176,-0.9715539216995239,54
53,Lee2019-MI,5,CLE LLE,CLE LLE,0.0,0.0,54
54,Lee2019-MI,6,GLE LLE,CLE LLE,0.9999999998861756,-2.2218799591064453,54
55,Lee2019-MI,7,LE LLE,CLE LLE,0.9999999999140077,-2.238797187805176,54
56,Lee2019-MI,8,AIR LLE,GLE LLE,5.584874731209913e-10,1.6707684993743896,54
57,Lee2019-MI,9,CLE LLE,GLE LLE,1.1382437801376317e-10,2.2218799591064453,54
58,Lee2019-MI,10,GLE LLE,GLE LLE,0.0,0.0,54
59,Lee2019-MI,11,LE LLE,GLE LLE,0.9999999987585392,-1.1319524049758911,54
60,Lee2019-MI,12,AIR LLE,LE LLE,1.1382437801376317e-10,1.8900407552719116,54
61,Lee2019-MI,13,CLE LLE,LE LLE,8.599231363937801e-11,2.238797187805176,54
62,Lee2019-MI,14,GLE LLE,LE LLE,1.241460797713005e-09,1.1319524049758911,54
63,Lee2019-MI,15,LE LLE,LE LLE,0.0,0.0,54
64,Zhou2016,0,AIR LLE,AIR LLE,0.0625,0.0,4
65,Zhou2016,1,CLE LLE,AIR LLE,0.0625,3.833172082901001,4
66,Zhou2016,2,GLE LLE,AIR LLE,0.9375,-0.7478667497634888,4
67,Zhou2016,3,LE LLE,AIR LLE,0.9375,-7.7831525802612305,4
68,Zhou2016,4,AIR LLE,CLE LLE,0.9375,-3.833172082901001,4
69,Zhou2016,5,CLE LLE,CLE LLE,0.0625,0.0,4
70,Zhou2016,6,GLE LLE,CLE LLE,0.9375,-1.6136479377746582,4
71,Zhou2016,7,LE LLE,CLE LLE,0.9375,-9.503741264343262,4
72,Zhou2016,8,AIR LLE,GLE LLE,0.125,0.7478667497634888,4
73,Zhou2016,9,CLE LLE,GLE LLE,0.0625,1.6136479377746582,4
74,Zhou2016,10,GLE LLE,GLE LLE,0.0625,0.0,4
75,Zhou2016,11,LE LLE,GLE LLE,0.9375,-9.751836776733398,4
76,Zhou2016,12,AIR LLE,LE LLE,0.0625,7.7831525802612305,4
77,Zhou2016,13,CLE LLE,LE LLE,0.0625,9.503741264343262,4
78,Zhou2016,14,GLE LLE,LE LLE,0.0625,9.751836776733398,4
79,Zhou2016,15,LE LLE,LE LLE,0.0625,0.0,4
