,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.25,15.241596,288.0,1,session_E,22,2,001-2014,LE LLE
1,0.25,4.497674,288.0,1,session_T,22,2,001-2014,LE LLE
2,0.25,3.7366757,288.0,2,session_E,22,2,001-2014,LE LLE
3,0.25,3.629427,288.0,2,session_T,22,2,001-2014,LE LLE
4,0.25,3.16328,288.0,3,session_E,22,2,001-2014,LE LLE
5,0.25,3.299604,288.0,3,session_T,22,2,001-2014,LE LLE
6,0.25,3.673002,288.0,4,session_E,22,2,001-2014,LE LLE
7,0.25,4.147627,288.0,4,session_T,22,2,001-2014,LE LLE
8,0.25,3.732973,288.0,5,session_E,22,2,001-2014,LE LLE
9,0.25,3.386629,288.0,5,session_T,22,2,001-2014,LE LLE
10,0.25,3.550808,288.0,6,session_E,22,2,001-2014,LE LLE
11,0.25,3.861038,288.0,6,session_T,22,2,001-2014,LE LLE
12,0.25,3.374557,288.0,7,session_E,22,2,001-2014,LE LLE
13,0.25,4.392126,288.0,7,session_T,22,2,001-2014,LE LLE
14,0.25,3.2667918,288.0,8,session_E,22,2,001-2014,LE LLE
15,0.25,3.9077702,288.0,8,session_T,22,2,001-2014,LE LLE
16,0.25,3.4867127,288.0,9,session_E,22,2,001-2014,LE LLE
17,0.25,4.1514482,288.0,9,session_T,22,2,001-2014,LE LLE
18,0.5,1.673934,200.0,1,session_A,13,2,001-2015,LE LLE
19,0.5,1.5868549,200.0,1,session_B,13,2,001-2015,LE LLE
20,0.5,1.5064521,200.0,2,session_A,13,2,001-2015,LE LLE
21,0.5,1.7403841,200.0,2,session_B,13,2,001-2015,LE LLE
22,0.5,1.544126,200.0,3,session_A,13,2,001-2015,LE LLE
23,0.5,1.8207879,200.0,3,session_B,13,2,001-2015,LE LLE
24,0.5,1.2896488,200.0,4,session_A,13,2,001-2015,LE LLE
25,0.5,2.0026398,200.0,4,session_B,13,2,001-2015,LE LLE
26,0.5,1.5121179,200.0,5,session_A,13,2,001-2015,LE LLE
27,0.5,1.352263,200.0,5,session_B,13,2,001-2015,LE LLE
28,0.5,1.6101892,200.0,6,session_A,13,2,001-2015,LE LLE
29,0.5,1.4932201,200.0,6,session_B,13,2,001-2015,LE LLE
30,0.5,1.5406418,200.0,7,session_A,13,2,001-2015,LE LLE
31,0.5,1.5965922,200.0,7,session_B,13,2,001-2015,LE LLE
32,0.5,3.419911,400.0,8,session_A,13,2,001-2015,LE LLE
33,0.5,3.6171079,400.0,8,session_B,13,2,001-2015,LE LLE
34,0.5,3.636034,400.0,8,session_C,13,2,001-2015,LE LLE
35,0.5,3.4168882,400.0,9,session_A,13,2,001-2015,LE LLE
36,0.5,2.9550583,400.0,9,session_B,13,2,001-2015,LE LLE
37,0.5,3.266847,400.0,9,session_C,13,2,001-2015,LE LLE
38,0.5,2.8314729,400.0,10,session_A,13,2,001-2015,LE LLE
39,0.5,2.7453542,400.0,10,session_B,13,2,001-2015,LE LLE
40,0.5,3.123587,400.0,10,session_C,13,2,001-2015,LE LLE
41,0.5,2.9326458,400.0,11,session_A,13,2,001-2015,LE LLE
42,0.5,4.5984983,400.0,11,session_B,13,2,001-2015,LE LLE
43,0.5,4.794299,400.0,11,session_C,13,2,001-2015,LE LLE
44,0.5,1.7085161,200.0,12,session_A,13,2,001-2015,LE LLE
45,0.5,1.8617659,200.0,12,session_B,13,2,001-2015,LE LLE
46,0.5,2.111125,600.0,1,session_0,3,5,004-2014,LE LLE
47,0.5,3.605806,600.0,1,session_1,3,5,004-2014,LE LLE
48,0.5,2.396489,560.0,1,session_2,3,5,004-2014,LE LLE
49,0.5,1.652072,560.0,1,session_3,3,5,004-2014,LE LLE
50,0.5,3.8430681,560.0,1,session_4,3,5,004-2014,LE LLE
51,0.5,2.3392367,560.0,2,session_0,3,5,004-2014,LE LLE
52,0.5,1.613406,560.0,2,session_1,3,5,004-2014,LE LLE
53,0.5,3.07626,520.0,2,session_2,3,5,004-2014,LE LLE
54,0.5,1.9015062,560.0,2,session_3,3,5,004-2014,LE LLE
55,0.5,2.5718699,520.0,2,session_4,3,5,004-2014,LE LLE
56,0.5,4.613204,600.0,3,session_0,3,5,004-2014,LE LLE
57,0.5,2.586466,600.0,3,session_1,3,5,004-2014,LE LLE
58,0.5,4.504607,560.0,3,session_2,3,5,004-2014,LE LLE
59,0.5,2.6094952,560.0,3,session_3,3,5,004-2014,LE LLE
60,0.5,3.696524,560.0,3,session_4,3,5,004-2014,LE LLE
61,0.5,4.021203,620.0,4,session_0,3,5,004-2014,LE LLE
62,0.5,4.083291,600.0,4,session_1,3,5,004-2014,LE LLE
63,0.5,3.168761,580.0,4,session_2,3,5,004-2014,LE LLE
64,0.5,2.488807,580.0,4,session_3,3,5,004-2014,LE LLE
65,0.5,1.6432371,580.0,4,session_4,3,5,004-2014,LE LLE
66,0.5,2.566485,620.0,5,session_0,3,5,004-2014,LE LLE
67,0.5,2.296123,600.0,5,session_1,3,5,004-2014,LE LLE
68,0.5,1.7537022,580.0,5,session_2,3,5,004-2014,LE LLE
69,0.5,2.999702,580.0,5,session_3,3,5,004-2014,LE LLE
70,0.5,3.517864,580.0,5,session_4,3,5,004-2014,LE LLE
71,0.5,2.266105,600.0,6,session_0,3,5,004-2014,LE LLE
72,0.5,3.1920934,600.0,6,session_1,3,5,004-2014,LE LLE
73,0.5,2.472222,560.0,6,session_2,3,5,004-2014,LE LLE
74,0.5,1.5788941,560.0,6,session_3,3,5,004-2014,LE LLE
75,0.5,2.6725671,560.0,6,session_4,3,5,004-2014,LE LLE
76,0.5,2.433304,600.0,7,session_0,3,5,004-2014,LE LLE
77,0.5,3.2609472,600.0,7,session_1,3,5,004-2014,LE LLE
78,0.5,2.470365,560.0,7,session_2,3,5,004-2014,LE LLE
79,0.5,6.625967,560.0,7,session_3,3,5,004-2014,LE LLE
80,0.5,4.620713,560.0,7,session_4,3,5,004-2014,LE LLE
81,0.5,3.5769472,600.0,8,session_0,3,5,004-2014,LE LLE
82,0.5,2.0804093,640.0,8,session_1,3,5,004-2014,LE LLE
83,0.5,3.038677,600.0,8,session_2,3,5,004-2014,LE LLE
84,0.5,2.8058429,600.0,8,session_3,3,5,004-2014,LE LLE
85,0.5,1.8135598,600.0,8,session_4,3,5,004-2014,LE LLE
86,0.5,2.580013,600.0,9,session_0,3,5,004-2014,LE LLE
87,0.5,1.7239482,600.0,9,session_1,3,5,004-2014,LE LLE
88,0.5,2.331043,560.0,9,session_2,3,5,004-2014,LE LLE
89,0.5,3.139182,560.0,9,session_3,3,5,004-2014,LE LLE
90,0.5,1.5041192,560.0,9,session_4,3,5,004-2014,LE LLE
91,0.5,10.221397,100.0,1,session_1,62,2,Lee2019_MI,LE LLE
92,0.5,9.21752,100.0,1,session_2,62,2,Lee2019_MI,LE LLE
93,0.5,9.702788,100.0,2,session_1,62,2,Lee2019_MI,LE LLE
94,0.5,8.364195,100.0,2,session_2,62,2,Lee2019_MI,LE LLE
95,0.5,8.586269,100.0,3,session_1,62,2,Lee2019_MI,LE LLE
96,0.5,8.703595,100.0,3,session_2,62,2,Lee2019_MI,LE LLE
97,0.5,18.27734,100.0,4,session_1,62,2,Lee2019_MI,LE LLE
98,0.5,7.0602093,100.0,4,session_2,62,2,Lee2019_MI,LE LLE
99,0.5,8.196636,100.0,5,session_1,62,2,Lee2019_MI,LE LLE
100,0.5,7.722433,100.0,5,session_2,62,2,Lee2019_MI,LE LLE
101,0.5,13.673065,100.0,6,session_1,62,2,Lee2019_MI,LE LLE
102,0.5,9.004695,100.0,6,session_2,62,2,Lee2019_MI,LE LLE
103,0.5,8.228701,100.0,7,session_1,62,2,Lee2019_MI,LE LLE
104,0.5,6.1826725,100.0,7,session_2,62,2,Lee2019_MI,LE LLE
105,0.5,9.184773,100.0,8,session_1,62,2,Lee2019_MI,LE LLE
