,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.25,7.099819,288.0,1,session_E,22,2,001-2014,AIR LLE
1,0.25,7.588047,288.0,1,session_T,22,2,001-2014,AIR LLE
2,0.25,7.807333,288.0,2,session_E,22,2,001-2014,AIR LLE
3,0.25,7.7472506,288.0,2,session_T,22,2,001-2014,AIR LLE
4,0.25,7.014429,288.0,3,session_E,22,2,001-2014,AIR LLE
5,0.25,7.20551,288.0,3,session_T,22,2,001-2014,AIR LLE
6,0.25,7.023099,288.0,4,session_E,22,2,001-2014,AIR LLE
7,0.25,7.1037827,288.0,4,session_T,22,2,001-2014,AIR LLE
8,0.25,7.4720383,288.0,5,session_E,22,2,001-2014,AIR LLE
9,0.25,7.319304,288.0,5,session_T,22,2,001-2014,AIR LLE
10,0.25,7.188594,288.0,6,session_E,22,2,001-2014,AIR LLE
11,0.25,7.068714,288.0,6,session_T,22,2,001-2014,AIR LLE
12,0.25,7.233163,288.0,7,session_E,22,2,001-2014,AIR LLE
13,0.25,8.066487,288.0,7,session_T,22,2,001-2014,AIR LLE
14,0.25,7.4759283,288.0,8,session_E,22,2,001-2014,AIR LLE
15,0.25,7.6707945,288.0,8,session_T,22,2,001-2014,AIR LLE
16,0.25,7.790906,288.0,9,session_E,22,2,001-2014,AIR LLE
17,0.25,7.165111,288.0,9,session_T,22,2,001-2014,AIR LLE
18,0.5,2.520587,200.0,1,session_A,13,2,001-2015,AIR LLE
19,0.5,2.483041,200.0,1,session_B,13,2,001-2015,AIR LLE
20,0.5,1.983181,200.0,2,session_A,13,2,001-2015,AIR LLE
21,0.5,2.0107708,200.0,2,session_B,13,2,001-2015,AIR LLE
22,0.5,2.1617773,200.0,3,session_A,13,2,001-2015,AIR LLE
23,0.5,2.245234,200.0,3,session_B,13,2,001-2015,AIR LLE
24,0.5,2.265426,200.0,4,session_A,13,2,001-2015,AIR LLE
25,0.5,2.345652,200.0,4,session_B,13,2,001-2015,AIR LLE
26,0.5,2.2021513,200.0,5,session_A,13,2,001-2015,AIR LLE
27,0.5,2.3563068,200.0,5,session_B,13,2,001-2015,AIR LLE
