,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7743056,2.2118866,288.0,1,0train,22,2,BNCI2014-001,LE SVC
1,0.7673611,1.2753341,288.0,1,1test,22,2,BNCI2014-001,LE SVC
2,0.53125,1.2727199,288.0,2,0train,22,2,BNCI2014-001,LE SVC
3,0.5,1.2837329,288.0,2,1test,22,2,BNCI2014-001,LE SVC
4,0.7847222,1.2360289,288.0,3,0train,22,2,BNCI2014-001,LE SVC
5,0.7916667,1.2520347,288.0,3,1test,22,2,BNCI2014-001,LE SVC
6,0.5381944,1.1928508,288.0,4,0train,22,2,BNCI2014-001,LE SVC
7,0.5243056,1.369513,288.0,4,1test,22,2,BNCI2014-001,LE SVC
8,0.35416666,1.2243059,288.0,5,0train,22,2,BNCI2014-001,LE SVC
9,0.46180555,1.4077458,288.0,5,1test,22,2,BNCI2014-001,LE SVC
10,0.375,1.353153,288.0,6,0train,22,2,BNCI2014-001,LE SVC
11,0.5138889,1.3111751,288.0,6,1test,22,2,BNCI2014-001,LE SVC
12,0.6631944,1.260849,288.0,7,0train,22,2,BNCI2014-001,LE SVC
13,0.65625,1.2052951,288.0,7,1test,22,2,BNCI2014-001,LE SVC
14,0.7569444,1.278934,288.0,8,0train,22,2,BNCI2014-001,LE SVC
15,0.75,1.269409,288.0,8,1test,22,2,BNCI2014-001,LE SVC
16,0.5833333,1.2797148,288.0,9,0train,22,2,BNCI2014-001,LE SVC
17,0.6631944,1.3548198,288.0,9,1test,22,2,BNCI2014-001,LE SVC
18,0.7638889,18.731913,288.0,1,0train,22,2,BNCI2014-001,CLE SVC
19,0.7569444,18.007872,288.0,1,1test,22,2,BNCI2014-001,CLE SVC
20,0.5763889,17.592997,288.0,2,0train,22,2,BNCI2014-001,CLE SVC
21,0.5416667,18.038675,288.0,2,1test,22,2,BNCI2014-001,CLE SVC
22,0.8333333,19.381319,288.0,3,0train,22,2,BNCI2014-001,CLE SVC
23,0.8298611,18.865692,288.0,3,1test,22,2,BNCI2014-001,CLE SVC
24,0.5868056,18.769527,288.0,4,0train,22,2,BNCI2014-001,CLE SVC
25,0.6458333,19.155798,288.0,4,1test,22,2,BNCI2014-001,CLE SVC
26,0.39583334,18.138268,288.0,5,0train,22,2,BNCI2014-001,CLE SVC
