,dataset,index,pipe1,pipe2,p,smd,nsub
0,BNCI2014-001,0,AIR SVC,AIR SVC,0.001953125,0.0,9
1,BNCI2014-001,1,CLE SVC,AIR SVC,0.994140625,-0.997407078742981,9
2,BNCI2014-001,2,GLE SVC,AIR SVC,0.998046875,-1.1392688751220703,9
3,BNCI2014-001,3,LE SVC,AIR SVC,0.998046875,-1.5432460308074951,9
4,BNCI2014-001,4,AIR SVC,CLE SVC,0.0078125,0.997407078742981,9
5,BNCI2014-001,5,CLE SVC,CLE SVC,0.001953125,0.0,9
6,BNCI2014-001,6,GLE SVC,CLE SVC,0.970703125,-0.7594519853591919,9
7,BNCI2014-001,7,LE SVC,CLE SVC,0.998046875,-1.4599063396453857,9
8,BNCI2014-001,8,AIR SVC,GLE SVC,0.00390625,1.1392688751220703,9
9,BNCI2014-001,9,CLE SVC,GLE SVC,0.029296875,0.7594519853591919,9
10,BNCI2014-001,10,GLE SVC,GLE SVC,0.001953125,0.0,9
11,BNCI2014-001,11,LE SVC,GLE SVC,0.919921875,-0.5251509547233582,9
12,BNCI2014-001,12,AIR SVC,LE SVC,0.001953125,1.5432460308074951,9
13,BNCI2014-001,13,CLE SVC,LE SVC,0.00390625,1.4599063396453857,9
14,BNCI2014-001,14,GLE SVC,LE SVC,0.072265625,0.5251509547233582,9
15,BNCI2014-001,15,LE SVC,LE SVC,0.001953125,0.0,9
16,BNCI2014-004,0,AIR SVC,AIR SVC,0.001953125,0.0,9
17,BNCI2014-004,1,CLE SVC,AIR SVC,0.8515625,-0.3135979175567627,9
18,BNCI2014-004,2,GLE SVC,AIR SVC,0.994140625,-1.0775859355926514,9
19,BNCI2014-004,3,LE SVC,AIR SVC,0.974609375,-0.7947069406509399,9
20,BNCI2014-004,4,AIR SVC,CLE SVC,0.146484375,0.3135979175567627,9
21,BNCI2014-004,5,CLE SVC,CLE SVC,0.001953125,0.0,9
22,BNCI2014-004,6,GLE SVC,CLE SVC,0.994140625,-1.0268672704696655,9
23,BNCI2014-004,7,LE SVC,CLE SVC,0.96875,-0.7205043435096741,9
24,BNCI2014-004,8,AIR SVC,GLE SVC,0.0078125,1.0775859355926514,9
